PrimaryActivityCode,SecondaryActivityCode,DescriptiveLabel,StartDate,UniBathWeekNo,DayOfWeek,StartTime,EndTime,DurationMins,EnjoymentScore,AdditionalData1,AdditionalData2
L418,WY256,Leisure,19/02/2022,20,Saturday,00:00,02:00,120,1,2,0
S801,,Sleep,19/02/2022,20,Saturday,02:00,11:30,570,2,2,0
O733,,Other,19/02/2022,20,Saturday,11:30,12:00,30,0,0,0
ED145,,Eating/Drinking,19/02/2022,20,Saturday,12:00,13:00,60,2,2,0
T695,UD415,Travelling,19/02/2022,20,Saturday,13:00,13:45,45,0,0,0
CW982,,Coursework,19/02/2022,20,Saturday,14:00,16:00,120,1,1,1
T695,,Travelling,19/02/2022,20,Saturday,16:00,16:30,30,0,0,0
L418,,Leisure,19/02/2022,20,Saturday,16:30,17:45,75,2,2,1
T695,UD415,Travelling,19/02/2022,20,Saturday,17:45,18:15,30,0,0,0
CW982,,Coursework,19/02/2022,20,Saturday,18:30,21:00,150,0,1,1
T695,UD415,Travelling,19/02/2022,20,Saturday,21:00,21:45,45,0,0,0
ED145,WY256,Eating/Drinking,19/02/2022,20,Saturday,22:00,22:30,30,1,0,0
L418,UD415,Leisure,19/02/2022,20,Saturday,22:30,23:59,89,1,1,0
S801,,Sleep,20/02/2022,20,Sunday,00:00,08:00,480,1,2,0
O733,,Other,20/02/2022,20,Sunday,08:00,08:30,30,0,0,0
ED145,,Eating/Drinking,20/02/2022,20,Sunday,08:30,09:30,60,1,1,0
T695,UD415,Travelling,20/02/2022,20,Sunday,09:30,09:45,15,2,2,0
O733,R523,Other,20/02/2022,20,Sunday,09:45,14:00,255,0,1,0
T695,,Travelling,20/02/2022,20,Sunday,14:00,14:30,30,0,0,0
ED145,WY256,Eating/Drinking,20/02/2022,20,Sunday,14:30,15:15,45,1,0,0
S801,,Sleep,20/02/2022,20,Sunday,15:30,16:30,60,1,2,1
O733,,Other,20/02/2022,20,Sunday,16:30,17:30,60,2,2,0
CW982,,Coursework,20/02/2022,20,Sunday,17:30,21:00,210,0,-1,1
ED145,WY256,Eating/Drinking,20/02/2022,20,Sunday,21:00,21:45,45,1,2,0
L418,UD415,Leisure,20/02/2022,20,Sunday,22:00,23:59,119,1,1,0
S801,,Sleep,25/02/2022,21,Friday,00:00,08:00,480,1,2,0
O733,,Other,25/02/2022,21,Friday,08:00,08:30,30,0,0,0
ED145,,Eating/Drinking,25/02/2022,21,Friday,08:30,09:30,60,1,1,0
L418,WY256,Leisure,25/02/2022,21,Friday,09:30,10:30,60,2,2,0
T695,UD415,Travelling,25/02/2022,21,Friday,10:30,11:15,45,0,0,0
PW101,,Paid Work,25/02/2022,21,Friday,11:15,12:15,60,0,1,0
T695,,Travelling,25/02/2022,21,Friday,12:15,12:30,15,0,0,0
CW982,,Coursework,25/02/2022,21,Friday,12:30,14:00,90,0,1,1
O733,,Other,25/02/2022,21,Friday,14:00,14:15,15,0,0,0
EL642,,Education/Lectures,25/02/2022,21,Friday,14:15,15:00,45,0,-1,1
ED145,WY256,Eating/Drinking,25/02/2022,21,Friday,15:15,15:45,30,1,2,0
CW982,,Coursework,25/02/2022,21,Friday,16:00,21:00,300,-1,0,1
T695,UD415,Travelling,25/02/2022,21,Friday,21:00,21:45,45,0,0,0
ED145,WY256,Eating/Drinking,25/02/2022,21,Friday,22:00,22:30,30,1,0,0
L418,UD415,Leisure,25/02/2022,21,Friday,22:30,23:59,89,1,1,0
