PrimaryActivityCode,SecondaryActivityCode,DescriptiveLabel,StartDate,UniBathWeekNo,DayOfWeek,StartTime,EndTime,DurationMins,EnjoymentScore,StressLevel,FocusLevel
S801,,Sleeping,21/02/2022,22,Monday,00:30:00,09:00:00,510,2,0,
ED145,L418,Breakfast,21/02/2022,22,Monday,09:00:00,09:30:00,30,2,0,2
T695,UD415,Chatting,21/02/2022,22,Monday,09:30:00,10:15:00,45,1,0,2
EL642,,Lectures,21/02/2022,22,Monday,10:15:00,13:15:00,180,1,1,3
ED145,,Lunch,21/02/2022,22,Monday,13:15:00,15:00:00,105,2,0,2
L418,UD415,Chatting,21/02/2022,22,Monday,15:00:00,18:15:00,195,2,0,3
CW982,EL642,ADS lab,21/02/2022,22,Monday,18:15:00,20:30:00,135,1,2,2
ED145,UD415,Watching Videos,21/02/2022,22,Monday,20:30:00,21:00:00,30,2,0,1
R523,L418,Reading book,21/02/2022,22,Monday,21:00:00,22:30:00,90,1,0,2
S801,,Sleeping,22/02/2022,22,Tuesday,22:30:00,09:00:00,630,2,0,
O733,,Making Breakfast,22/02/2022,22,Tuesday,09:00:00,09:30:00,30,2,0,2
ED145,L418,Breakfast,22/02/2022,22,Tuesday,09:30:00,10:30:00,60,2,0,1
O733,,Getting Ready,22/02/2022,22,Tuesday,10:30:00,11:15:00,45,0,1,1
T695,UD415,Listening to Music,22/02/2022,22,Tuesday,11:15:00,12:00:00,45,1,0,1
EL642,,Machine Learning,22/02/2022,22,Tuesday,12:00:00,13:00:00,60,1,0,3
ED145,,Lunch,22/02/2022,22,Tuesday,13:00:00,13:30:00,30,2,0,1
CW982,EL642,ML lab,22/02/2022,22,Tuesday,13:30:00,15:30:00,120,1,1,2
T695,,Went for a walk,22/02/2022,22,Tuesday,15:30:00,16:15:00,45,0,0,2
H179,L418,Cleaning,22/02/2022,22,Tuesday,16:15:00,18:30:00,135,1,0,2
ED145,,Dinner,22/02/2022,22,Tuesday,18:30:00,19:15:00,45,2,0,1
CW982,EL642,Machine Learning,22/02/2022,22,Tuesday,19:15:00,21:30:00,135,1,1,3
L418,UD415,chat with a friend,22/02/2022,22,Tuesday,21:30:00,22:00:00,30,2,0,1
S801,,Sleeping,23/02/2022,22,Wednesday,22:00:00,09:15:00,675,2,0,
ED145,,Breakfast,23/02/2022,22,Wednesday,09:15:00,10:30:00,75,2,0,1
T695,,Travel by bus,23/02/2022,22,Wednesday,10:30:00,11:30:00,60,0,0,2
CW982,EL642,ML lab,23/02/2022,22,Wednesday,11:30:00,13:00:00,90,1,1,2
ED145,L418,Lunch,23/02/2022,22,Wednesday,13:00:00,14:00:00,60,2,0,1
T695,,Travel by bus,23/02/2022,22,Wednesday,14:00:00,14:30:00,30,0,1,1
CW982,EL642,ADS lab,23/02/2022,22,Wednesday,14:30:00,17:30:00,180,1,2,1
L418,UD415,chat with a friend,23/02/2022,22,Wednesday,17:30:00,18:30:00,60,2,0,0
ED145,,Dinner,23/02/2022,22,Wednesday,18:30:00,20:00:00,90,2,0,2
CW982,,ADS lab,23/02/2022,22,Wednesday,20:00:00,21:15:00,75,2,0,3
O733,UD415,Planning for next day,23/02/2022,22,Wednesday,21:15:00,22:15:00,60,1,0,2
S801,,Sleeping,23/02/2022,22,Wednesday,22:15:00,08:00:00,585,2,0,
