PrimaryActivityCode,SecondaryActivityCode,DescriptiveLabel,StartDate,UniBathWeekNo,DayOfWeek,StartTime,EndTime,DurationMins,EnjoymentScore,Stress level,Hungry?
S801,,Sleeping,21/02/2022,21,Monday,0:00,7:45,465,2,0,NO
O733,,Coursework,21/02/2022,21,Monday,7:45,9:15,90,1,4,YES
ED145,,Eating/drinking,21/02/2022,21,Monday,9:15,9:45,30,1,1,YES
UD415,,Using Devices ,21/02/2022,21,Monday,9:45,10:00,15,1,3,NO
EL642,,Coursework,21/02/2022,21,Monday,10:00,10:45,45,-1,4,NO
T695,,Traveling ,21/02/2022,21,Monday,10:45,11:00,15,2,0,NO
EL642,,Education/lecture,21/02/2022,21,Monday,11:00,12:00,60,0,5,YES
ED145,,Eating/drinking,21/02/2022,21,Monday,12:00,12:15,15,2,2,YES
L418,,Leisure,21/02/2022,21,Monday,12:15,13:00,45,2,0,NO
EL642,,Education/lecture,21/02/2022,21,Monday,13:00,14:15,75,0,5,NO
T695,,Travelling ,21/02/2022,21,Monday,14:15,14:45,30,1,0,NO
,CK835,Cooking ,21/02/2022,21,Monday,14:45,15:15,30,-1,3,NO
UD415,,Using Devices ,21/02/2022,21,Monday,15:15,15:30,15,0,3,NO
R523,,Reading,21/02/2022,21,Monday,15:30,17:00,90,2,0,NO
S801,,Sleeping ,21/02/2022,21,Monday,17:00,18:00,60,2,0,NO
UD415,,Using Devices ,21/02/2022,21,Monday,18:00,18:30,30,0,3,NO
R523,,Reading ,21/02/2022,21,Monday,18:30,19:30,60,2,0,YES
ED145,,Eating/drinking,21/02/2022,21,Monday,19:30,20:15,45,0,2,YES
,WT329,Watching TV,21/02/2022,21,Monday,20:15,22:45,150,1,0,NO
R523,,Reading ,21/02/2022,21,Monday,23:45,1:00,75,2,0,NO
S801,,Sleeping,22/02/2022,21,Tuesday,1:00,9:00,480,2,0,NO
,CK835,Cooking ,22/02/2022,21,Tuesday,9:00,10:45,105,-2,3,NO
ED145,,Eating/drinking,22/02/2022,21,Tuesday,10:45,12:00,75,1,2,YES
,ON510,online lecture ,22/02/2022,21,Tuesday,12:00,14:00,120,-1,5,NO
,CK835,Cooking,22/02/2022,21,Tuesday,14:00,15:00,60,-2,3,NO
,WT329,Watching Tv,22/02/2022,21,Tuesday,15:00,15:30,30,1,0,NO
ED145,,eating/Drinking,22/02/2022,21,Tuesday,15:30,16:00,30,1,2,YES
,ON510,online lecture ,22/02/2022,21,Tuesday,16:00,17:45,105,-1,5,NO
R523,,reading ,22/02/2022,21,Tuesday,17:45,19:00,75,2,0,NO
,WT329,Watching Tv,22/02/2022,21,Tuesday,19:00,21:30,150,1,0,YES
ED145,,Eating/Drinking,22/02/2022,21,Tuesday,21:30,22:00,30,1,2,YES
,WT329,Watching Tv,22/02/2022,21,Tuesday,22:00,23:00,60,1,0,NO
R523,,Reading,22/02/2022,21,Tuesday,23:00,1:00,120,2,0,NO
S801,,Sleeping ,23/02/2022,21,Wednesday,1:00,9:30,510,2,0,NO
,CK835,Cooking ,23/02/2022,21,Wednesday,9:30,10:00,30,-2,2,NO
ED145,,Eating/Drinking,23/02/2022,21,Wednesday,10:00,11:00,60,1,2,YES
T695,,Travelling ,23/02/2022,21,Wednesday,11:00,11:30,30,2,1,NO
EL642,,Education/lecture,23/02/2022,21,Wednesday,11:30,14:15,165,1,0,NO
ED145,,eating/drinkng,23/02/2022,21,Wednesday,14:15,15:00,45,1,2,YES
L418,,leisure,23/02/2022,21,Wednesday,15:00,15:30,30,2,2,NO
EL642,,Education/lecture,23/02/2022,21,Wednesday,15:30,19:00,210,1,2,NO
T695,,Travelling ,23/02/2023,21,Wednesday,19:00,19:30,30,2,0,NO
ED145,,Eating/drinking,23/02/2024,21,Wednesday,19:30,20:30,60,1,2,YES
,WT329,Watching TV,23/02/2025,21,Wednesday,20:30,23:45,195,1,0,NO
R523,,Reading,23/02/2026,21,Wednesday,23:45,1:00,75,2,0,NO
