PrimaryActivityCode,SecondaryActivityCode,DescriptiveLabel,StartDate,UniBathWeekNo,DayOfWeek,StartTime,EndTime,DurationMins,EnjoymentScore,Hunger Level,Consume Caffeine?
L418,UD415,Youtube,20/02/2022,21,Sunday,00:00,01:00,60.0,2.0,0.0,
S801,,,20/02/2022,21,Sunday,01:00,07:45,405.0,2.0,0.0,
ED145,UD415,,20/02/2022,21,Sunday,07:45,08:15,30.0,2.0,1.0,1.0
O733,,shower&dress,20/02/2022,21,Sunday,08:15,08:30,15.0,0.0,0.0,
T695,,,20/02/2022,21,Sunday,08:30,09:00,30.0,-1.0,0.0,
PW101,,,20/02/2022,21,Sunday,09:00,17:15,495.0,-2.0,2.0,
T695,,,20/02/2022,21,Sunday,17:15,17:45,30.0,-2.0,2.0,
ED145,,,20/02/2022,21,Sunday,17:45,18:15,30.0,2.0,0.0,
S801,,napping,20/02/2022,21,Sunday,18:15,20:00,105.0,2.0,0.0,
ED145,H179,cooking&eating,20/02/2022,21,Sunday,20:00,21:15,75.0,1.0,1.0,
L418,UD415,video games,20/02/2022,21,Sunday,21:15,23:30,135.0,2.0,0.0,1.0
O733,,ready for bed,20/02/2022,21,Sunday,23:30,00:00,30.0,0.0,0.0,
S801,,,21/02/2022,22,Monday,00:00,07:30,450.0,1.0,0.0,
ED145,UD415,,21/02/2022,22,Monday,07:30,08:15,45.0,2.0,1.0,1.0
O733,,shower&dress,21/02/2022,22,Monday,08:15,08:30,15.0,0.0,0.0,
T695,,,21/02/2022,22,Monday,08:30,09:00,30.0,-1.0,0.0,
PW101,,,21/02/2022,22,Monday,09:00,16:15,435.0,-2.0,2.0,
T695,,,21/02/2022,22,Monday,16:15,17:00,45.0,0.0,1.0,1.0
S801,,nap,21/02/2022,22,Monday,17:00,19:00,120.0,2.0,0.0,
X893,T695,gym,21/02/2022,22,Monday,19:00,21:30,150.0,2.0,1.0,1.0
ED145,H179,cook and eat,21/02/2022,22,Monday,21:30,22:45,75.0,1.0,2.0,
L418,,Netflix,21/02/2022,22,Monday,22:45,23:30,45.0,2.0,0.0,
L418,UD415,Youtube,21/02/2022,22,Monday,23:30,00:30,60.0,1.0,1.0,
S801,,,22/02/2022,22,Tuesday,00:30,09:30,540.0,1.0,1.0,
L418,UD415,Netflix,22/02/2022,22,Tuesday,09:30,10:30,60.0,2.0,2.0,
CW982,ED145,breakfast&work,22/02/2022,22,Tuesday,10:30,12:30,120.0,0.0,2.0,1.0
X893,T695,gym,22/02/2022,22,Tuesday,12:30,15:00,150.0,2.0,0.0,1.0
ED145,UD415,cook&eat,22/02/2022,22,Tuesday,15:00,16:00,60.0,2.0,2.0,
EL642,,,22/02/2022,22,Tuesday,16:00,19:00,180.0,-1.0,0.0,1.0
ED145,H179,cook&clean,22/02/2022,22,Tuesday,19:00,20:15,75.0,0.0,2.0,
L418,UD415,Netflix,22/02/2022,22,Tuesday,20:15,21:15,60.0,2.0,0.0,
CW982,,,22/02/2022,22,Tuesday,21:15,22:00,45.0,-2.0,0.0,1.0
L418,UD415,Gaming,22/02/2022,22,Tuesday,22:00,23:30,90.0,2.0,0.0,
O733,UD415,"shower,youtube",22/02/2022,22,Tuesday,23:30,00:30,60.0,2.0,0.0,
S801,,,23/02/2022,22,Wednesday,00:30,09:30,540.0,1.0,0.0,
