PrimaryActivityCode,SecondaryActivityCode,DescriptiveLabel,StartDate,UniBathWeekNo,DayOfWeek,StartTime,EndTime,DurationInMins,EnjoymentScore,NoOfPeople,Planned
ED145,UD415,Breakfast,2022-02-21,21.0,Monday,08:10:00,08:35:00,25.0,1,1,Yes
UD415,,Youtube,2022-02-21,21.0,Monday,08:35:00,08:50:00,15.0,2,1,No
T695,UD415,University,2022-02-21,21.0,Monday,08:50:00,09:15:00,25.0,1,2 or 3,Yes
EL642,,Lecture - Online,2022-02-21,21.0,Monday,09:15:00,10:15:00,60.0,1,2 or 3,Yes
EL642,CW982,Lab - Inperson,2022-02-21,21.0,Monday,10:15:00,12:15:00,120.0,2,4 and More,Yes
ED145,L418,Lunch,2022-02-21,21.0,Monday,12:15:00,13:15:00,60.0,2,4 and More,Yes
EL642,UD415,Lecture - Inperson,2022-02-21,21.0,Monday,13:15:00,14:15:00,60.0,0,2 or 3,Yes
L418,,Taking with friends,2022-02-21,21.0,Monday,14:15:00,15:20:00,65.00000000000001,2,4 and More,No
L418,ED145,Playing pool in SU,2022-02-21,21.0,Monday,15:20:00,16:25:00,65.00000000000001,2,4 and More,No
T695,,Accomodation,2022-02-21,21.0,Monday,16:25:00,16:50:00,25.0,0,4 and More,Yes
O733,,Grocery Shopping,2022-02-21,21.0,Monday,16:50:00,17:15:00,25.0,-1,1,No
UD415,ED145,Netflix,2022-02-21,21.0,Monday,17:15:00,19:50:00,155.0,1,1,No
H179,L418,Cooking Dinner,2022-02-21,21.0,Monday,19:50:00,21:10:00,80.0,-1,1,Yes
ED145,L418,Dinner,2022-02-21,21.0,Monday,21:10:00,21:40:00,30.0,0,1,Yes
L418,,Netflix,2022-02-21,21.0,Monday,21:40:00,00:50:00,190.0,2,1,Yes
S801,,,2022-02-21,21.0,Monday,00:50:00,09:00:00,490.00000000000006,2,1,Yes
UD415,,Web Surfing,2022-02-22,21.0,Tuesday,09:00:00,10:00:00,60.0,1,1,No
ED145,UD415,Breakfast,2022-02-22,21.0,Tuesday,10:00:00,10:50:00,50.0,1,1,Yes
T695,UD415,University,2022-02-22,21.0,Tuesday,10:50:00,11:15:00,25.0,1,2 or 3,Yes
EL642,,Lecture - Inperson,2022-02-22,21.0,Tuesday,11:15:00,12:15:00,60.0,1,2 or 3,Yes
ED145,L418,Lunch,2022-02-22,21.0,Tuesday,12:15:00,13:15:00,60.0,2,4 and More,Yes
EL642,UD415,Lecture - Inperson,2022-02-22,21.0,Tuesday,13:15:00,14:15:00,60.0,0,2 or 3,Yes
L418,,Taking with friends,2022-02-22,21.0,Tuesday,14:15:00,15:30:00,75.0,2,4 and More,No
L418,,Playing squash,2022-02-22,21.0,Tuesday,15:30:00,16:45:00,75.0,2,2 or 3,No
T695,,Accomodation,2022-02-22,21.0,Tuesday,16:45:00,17:20:00,35.0,0,4 and More,Yes
UD415,ED145,Netflix,2022-02-22,21.0,Tuesday,17:20:00,18:50:00,90.0,1,1,No
L418,,,2022-02-22,21.0,Tuesday,18:50:00,19:50:00,60.0,2,4 and More,Yes
H179,L418,Cooking Dinner,2022-02-22,21.0,Tuesday,19:50:00,21:00:00,70.0,-1,1,Yes
ED145,L418,Dinner,2022-02-22,21.0,Tuesday,21:00:00,21:30:00,30.0,0,1,Yes
L418,,Netflix,2022-02-22,21.0,Tuesday,21:40:00,00:10:00,150.0,2,1,No
S801,,,2022-02-22,21.0,Tuesday,00:10:00,08:30:00,500.00000000000006,2,1,Yes
L418,,,2022-02-23,21.0,Wednesday,08:30:00,08:55:00,25.0,0,1,No
T695,UD415,University - running late,2022-02-23,21.0,Wednesday,08:55:00,09:30:00,35.0,1,2 or 3,Yes
EL642,CW982,Lab - Inperson,2022-02-23,21.0,Wednesday,09:30:00,11:15:00,105.0,-1,2 or 3,Yes
ED145,L418,Lunch,2022-02-23,21.0,Wednesday,11:15:00,12:05:00,50.0,2,4 and More,Yes
R523,CW982,Library,2022-02-23,21.0,Wednesday,12:05:00,14:00:00,115.0,0,2 or 3,Yes
T695,L418,Lecture Hall,2022-02-23,21.0,Wednesday,14:00:00,14:15:00,15.0,2,4 and More,Yes
EL642,UD415,Lecture - Inperson,2022-02-23,21.0,Wednesday,14:15:00,15:15:00,60.0,-1,4 and More,Yes
T695,L418,Accomodation,2022-02-23,21.0,Wednesday,15:15:00,16:30:00,75.0,2,2 or 3,Yes
L418,ED145,Watching Netflix,2022-02-23,21.0,Wednesday,16:30:00,18:30:00,120.0,1,1,No
L418,,Going out with friends,2022-02-23,21.0,Wednesday,18:30:00,19:40:00,70.0,-2,2 or 3,No
H179,L418,Cooking Dinner,2022-02-23,21.0,Wednesday,19:40:00,20:50:00,70.0,-1,1,Yes
ED145,L418,Dinner,2022-02-23,21.0,Wednesday,20:50:00,21:30:00,40.0,0,1,Yes
L418,,Netflix,2022-02-23,21.0,Wednesday,21:30:00,01:20:00,230.0,2,1,No
S801,,,2022-02-23,21.0,Wednesday,01:20:00,09:00:00,460.0,2,1,Yes
