PrimaryActivityCode,SecondaryActivityCode,DescriptiveLabel,StartDate,UniBathWeekNo,DayOfWeek,StartTime,EndTime,DurationMins,EnjoymentScore,DietRating,SleepQuality
S801,,Sleep,21/02/2022,21,Monday,00:15,08:30,495,1,,Good
O733,,Getting dressed,21/02/2022,21,Monday,08:30,09:00,30,0,,
EL642,UD415,Research Project Preparation lecture,21/02/2022,21,Monday,09:15,10:00,45,-1,,
ED145,UD415,"Breakfast, Youtube",21/02/2022,21,Monday,10:15,11:00,45,1,Healthy,
UD415,,Watching Video / Social Media,21/02/2022,21,Monday,11:00,11:30,30,1,,
T695,,Going to University,21/02/2022,21,Monday,11:30,12:45,75,-2,,
EL642,UD415,Machine Learning lecture,21/02/2022,21,Monday,13:15,14:00,45,-1,,
ED145,,University Cafeteria,21/02/2022,21,Monday,14:30,15:00,30,1,Unhealthy,
CW982,UD415,ADS Coursework,21/02/2022,21,Monday,15:15,17:00,105,0,,
L418,,Playing pool,21/02/2022,21,Monday,17:00,17:30,30,0,,
CW982,UD415,ADS Coursework,21/02/2022,21,Monday,17:30,19:00,90,0,,
UD415,,Watching Video / Social Media,21/02/2022,21,Monday,19:00,19:15,15,1,,
T695,,Going to City Centre,21/02/2022,21,Monday,19:30,20:15,45,-1,,
ED145,,Restaurant / Takeaway,21/02/2022,21,Monday,20:15,21:00,45,1,Unhealthy,
T695,,Going to Accomodation,21/02/2022,21,Monday,21:00,21:15,15,-1,,
X893,,,21/02/2022,21,Monday,21:30,22:30,60,1,,
O733,,Shower,21/02/2022,21,Monday,22:30,22:45,15,1,,
R523,,Reading through available research projects,21/02/2022,21,Monday,22:45,23:30,45,0,,
UD415,,Gaming,21/02/2022,21,Monday,23:30,00:00,30,2,,
UD415,,Gaming,22/02/2022,21,Tuesday,00:00,01:00,60,2,,
S801,,Sleep,22/02/2022,21,Tuesday,01:00,07:45,405,-1,,Bad
UD415,,Watching Video / Social Media,22/02/2022,21,Tuesday,07:45,08:45,60,1,,
O733,,Getting dressed,22/02/2022,21,Tuesday,08:45,09:30,45,0,,
T695,,Going to University,22/02/2022,21,Tuesday,09:30,10:45,75,-2,,
EL642,UD415,Bayesian Machine Learning lecture,22/02/2022,21,Tuesday,11:15,12:00,45,0,,
ED145,,Eating,22/02/2022,21,Tuesday,12:30,13:00,30,0,Neither Healthy nor Unhealthy,
CW982,UD415,ADS Coursework,22/02/2022,21,Tuesday,13:00,14:00,60,0,,
UD415,ED145,Watching Video / Snacking,22/02/2022,21,Tuesday,14:00,14:30,30,1,,
CW982,UD415,ADS Coursework,22/02/2022,21,Tuesday,14:30,16:00,90,0,,
T695,,,22/02/2022,21,Tuesday,16:00,17:15,75,-1,,
S801,,Nap,22/02/2022,21,Tuesday,17:15,19:15,120,0,,Neither Good nor Bad
X893,,,22/02/2022,21,Tuesday,19:15,20:30,75,1,,
O733,,Shower,22/02/2022,21,Tuesday,20:30,21:00,30,1,,
ED145,,,22/02/2022,21,Tuesday,21:00,21:45,45,0,Healthy,
UD415,,Gaming,22/02/2022,21,Tuesday,21:45,00:00,135,1,,
S801,,,23/02/2022,21,Wednesday,00:00,07:00,420,2,,Very Good
O733,,Getting dressed,23/02/2022,21,Wednesday,07:00,07:45,45,0,,
T695,,Going to University,23/02/2022,21,Wednesday,07:45,09:15,90,-1,,
EL642,,,23/02/2022,21,Wednesday,09:15,11:00,105,-1,,
EL642,,,23/02/2022,21,Wednesday,11:15,13:00,105,-1,,
ED145,,,23/02/2022,21,Wednesday,13:00,14:15,75,0,Healthy,
EL642,,,23/02/2022,21,Wednesday,14:15,15:00,45,-1,,
CW982,,ADS Coursework,23/02/2022,21,Wednesday,15:15,16:15,60,0,,
T695,,Going to Accomodation,23/02/2022,21,Wednesday,16:15,18:30,135,-1,,
L418,,Playing pool,23/02/2022,21,Wednesday,18:30,20:30,120,1,,
ED145,,Takeaway,23/02/2022,21,Wednesday,20:45,21:30,45,2,Very Unhealthy,
O733,,Getting dressed,23/02/2022,21,Wednesday,21:30,22:15,45,0,,
T695,,Meeting with friends,23/02/2022,21,Wednesday,22:15,22:45,30,0,,
O733,,Drinking,23/02/2022,21,Wednesday,22:45,23:30,45,1,,
L418,,Clubbing,23/02/2022,21,Wednesday,23:30,00:00,30,1,,
