PrimaryActivityCode,SecondaryActivityCode,DescriptiveLabel,StartDate,UniBathWeekNo,DayOfWeek,StartTime,EndTime,DurationMins,EnjoymentScore,AimDurationMins,DistractionLevel
ED145,L418,Eating/Drinking ,17/02/2022,20,Thursday,08:30,08:45,15,1,15,0
T695,,Travelling ,17/02/2022,20,Thursday,09:00,09:30,30,-1,30,0
EL642,,Education/Lectures ,17/02/2022,20,Thursday,09:30,11:45,135,0,150,2
EL642,,Education/Lectures ,17/02/2022,20,Thursday,12:00,13:00,60,1,60,0
ED145,L418,Eating/Drinking ,17/02/2022,20,Thursday,13:15,14:00,45,2,45,2
EL642,UD416,Education/Lectures ,17/02/2022,20,Thursday,14:00,14:45,45,0,60,2
UD416,,Using Devices,17/02/2022,20,Thursday,14:45,15:00,15,2,0,0
T695,,Travelling ,17/02/2022,20,Thursday,15:00,16:00,60,0,60,0
S801,UD416,Sleep,17/02/2022,20,Thursday,16:00,17:00,60,2,60,1
T695,UD416,Travelling ,17/02/2022,20,Thursday,17:00,17:30,30,1,30,0
X893,L418,Exercise ,17/02/2022,20,Thursday,17:30,19:00,90,2,90,0
O733,L418,Other,17/02/2022,20,Thursday,19:00,20:30,90,2,90,0
ED145,L418,Eating/Drinking ,17/02/2022,20,Thursday,20:30,22:00,90,2,90,0
UD416,,Using Devices,17/02/2022,20,Thursday,22:30,23:00,90,1,90,1
S801,,Sleep,17/02/2022,20,Thursday,23:00,09:00,600,2,600,0
UD416,,Using Devices,18/02/2022,20,Friday,09:00,09:30,30,1,15,1
ED145,,Eating/Drinking ,18/02/2022,20,Friday,09:30,10:00,30,1,15,1
EL642,UD416,Education/Lectures ,18/02/2022,20,Friday,10:30,12:00,90,0,90,1
ED145,L418,Eating/Drinking ,18/02/2022,20,Friday,12:00,13:00,60,2,45,1
CW982,UD416,Coursework,18/02/2022,20,Friday,13:00,15:00,120,0,120,2
UD416,,Using Devices,18/02/2022,20,Friday,15:00,17:00,120,1,120,0
H179,T695,Housework ,18/02/2022,20,Friday,17:00,18:00,60,1,60,0
ED145,L418,Eating/Drinking ,18/02/2022,20,Friday,18:00,20:00,120,2,120,0
O733,L418,Other,18/02/2022,20,Friday,20:00,22:00,120,2,120,1
S801,,Sleep,18/02/2022,20,Friday,23:00,09:00,600,2,600,0
UD416,,Using Devices,19/02/2022,20,Saturday,09:00,09:30,30,2,30,0
ED145,,Eating/Drinking ,19/02/2022,20,Saturday,09:30,10:00,30,1,30,0
H179,,Housework ,19/02/2022,20,Saturday,10:00,10:30,30,-1,30,1
T695,UD416,Travelling ,19/02/2022,20,Saturday,11:00,15:00,360,0,360,2
L418,UD416,Leisure,19/02/2022,20,Saturday,15:00,16:00,60,2,60,2
ED145,L418,Eating/Drinking ,19/02/2022,20,Saturday,16:00,17:00,60,2,60,0
O733,L418,Other,19/02/2022,20,Saturday,17:00,18:00,60,1,60,1
ED145,L418,Eating/Drinking ,19/02/2022,20,Saturday,18:00,19:00,60,2,60,0
L418,ED145,Leisure,19/02/2022,20,Saturday,20:30,03:30,420,2,420,0
