PrimaryActivityCode,SecondaryActivityCode,DescriptiveLabel,StartDate,UniBathWeekNo,DayOfWeek,StartTime,EndTime,DurationMins,EnjoymentScore,StressLevel,ProductivityScore
S801,,Sleeping ,02/21/2022,20,Monday,00:00:00,07:02:00,420,2,-2,0
O733,,Waking up and Getting ready ,02/21/2022,20,Monday,07:02:00,07:43:00,45,-1,0,1
ED145,TK140,Breakfast,02/21/2022,20,Monday,07:43:00,08:05:00,15,1,-1,1
O733,M138,Packing Lunch,02/21/2022,20,Monday,08:05:00,08:25:00,30,0,1,1
T695,M138,Going to University,02/21/2022,20,Monday,08:25:00,08:53:00,30,2,-2,1
EL642,,Attending Lectures,02/21/2022,20,Monday,09:15:00,11:05:00,105,-1,1,1
L418,TK140,Chatting with friends,02/21/2022,20,Monday,11:05:00,12:15:00,75,2,-2,0
EL642,,Attending Lectures,02/21/2022,20,Monday,12:15:00,13:05:00,45,0,-1,1
L418,O892,Having Lunch and chatting,02/21/2022,20,Monday,13:05:00,14:15:00,75,2,-2,0
EL642,,Attending Lectures,02/21/2022,20,Monday,14:15:00,15:05:00,45,0,0,1
T695,W220,Travelling Back Home,02/21/2022,20,Monday,15:05:00,15:42:00,45,1,-1,0
L418,TK140,Chatting with friends,02/21/2022,20,Monday,15:42:00,17:06:00,75,2,-2,0
CW982,M138,Doing Coursework,02/21/2022,20,Monday,17:06:00,18:48:00,105,0,2,1
H179,TK140,Cooking with Friends,02/21/2022,20,Monday,18:48:00,19:34:00,45,1,-1,1
O733,TK140,Having Dinner with friends,02/21/2022,20,Monday,19:34:00,21:00:00,90,2,-2,0
L418,O892,Playing online games,02/21/2022,20,Monday,21:00:00,23:12:00,135,2,-2,0
R523,,Preparing for the interview,02/21/2022,20,Monday,23:12:00,23:59:00,45,-1,1,1
S801,,Sleeping ,02/22/2022,20,Tuesday,00:00:00,07:49:00,465,2,-2,0
O733,,Waking up and Getting ready ,02/22/2022,20,Tuesday,07:49:00,08:20:00,30,1,0,0
ED145,,Breakfast,02/22/2022,20,Tuesday,08:20:00,09:02:00,45,1,-1,0
CW982,M138,Doing Coursework,02/22/2022,20,Tuesday,09:02:00,10:05:00,60,0,1,1
O733,,Getting ready,02/22/2022,20,Tuesday,10:05:00,10:30:00,30,-1,1,0
T695,,Going to University,02/22/2022,20,Tuesday,10:30:00,11:10:00,45,2,-2,1
EL642,,Attending Lectures,02/22/2022,20,Tuesday,11:15:00,12:05:00,45,-1,1,1
L418,TK140,Chatting with friends,02/22/2022,20,Tuesday,12:05:00,13:15:00,75,2,-2,0
EL642,,Attending Lectures,02/22/2022,20,Tuesday,13:15:00,14:05:00,45,0,-1,1
T695,,Travelling Back Home,02/22/2022,20,Tuesday,14:05:00,14:50:00,45,2,-2,0
ED145,,Having Lunch and chatting,02/22/2022,20,Tuesday,14:50:00,15:41:00,60,-1,1,0
T695,,Going to University,02/22/2022,20,Tuesday,15:41:00,16:20:00,30,0,0,0
EL642,,Attending Seminar,02/22/2022,20,Tuesday,16:20:00,18:13:00,120,1,-1,1
L418,W220,Walking around Campus,02/22/2022,20,Tuesday,18:13:00,18:50:00,30,1,-1,0
O733,,Interview Preparation through phone,02/22/2022,20,Tuesday,18:50:00,19:30:00,45,1,2,1
O733,,Interview Preparation/Coursework,02/22/2022,20,Tuesday,19:30:00,20:45:00,75,-1,2,1
L418,TK140, Playing Badminton/Talking with Friends,02/22/2022,20,Tuesday,20:45:00,22:02:00,75,2,-2,0
T695,TK140,Travelling back Home,02/22/2022,20,Tuesday,22:02:00,22:48:00,45,2,-2,0
ED145,,Having Dinner,02/22/2022,20,Tuesday,22:48:00,23:25:00,45,2,-2,0
R523,,Preparing for the interview,02/22/2022,20,Tuesday,23:25:00,01:05:00,90,-1,1,1
S801,,Sleeping ,02/23/2022,20,Wednesday,01:06:00,08:30:00,450,2,-2,1
O733,,Waking up and Getting ready ,02/23/2022,20,Wednesday,08:30:00,09:20:00,45,1,1,0
ED145,,Having Breakfast,02/23/2022,20,Wednesday,09:20:00,10:00:00,45,0,1,0
H179,,Cooking and Cleaning,02/23/2022,20,Wednesday,10:00:00,12:10:00,135,1,0,0
R523,,Interview Preparation,02/23/2022,20,Wednesday,12:10:00,13:00:00,45,-1,2,1
O733,,Attending Interview,02/23/2022,20,Wednesday,13:00:00,13:45:00,45,0,1,1
L418,TK140,Calling family and friends,02/23/2022,20,Wednesday,13:45:00,14:26:00,45,2,-2,0
ED145,,Having Lunch,02/23/2022,20,Wednesday,14:26:00,15:00:00,30,2,-2,0
CW982,,Doing Coursework,02/23/2022,20,Wednesday,15:00:00,18:04:00,180,-1,1,1
S801,,Sleeping ,02/23/2022,20,Wednesday,18:04:00,20:00:00,120,1,-1,0
UD415,,Using Social Media,02/23/2022,20,Wednesday,20:00:00,21:18:00,75,1,-2,0
ED145,,Having Dinner,02/23/2022,20,Wednesday,21:18:00,22:04:00,45,0,-1,0
R523,,Reading Articles,02/23/2022,20,Wednesday,22:04:00,01:12:00,195,0,-2,1
