PrimaryActivityCode,SecondaryActivityCode,DescriptiveLabel,StartDate,UniBathWeekNo,DayOfWeek,StartTime,EndTime,DurationMins,EnjoymentScore,Inside/Outside,ProductivityScore
S801,,,22/02/22,21,Tuesday,00:00,06:30,390.0,2,Inside,0
ED145,UD415,Breakfast,22/02/22,21,Tuesday,06:45,07:15,30.0,1,Inside,0
UD415,,Mobile Phone,22/02/22,21,Tuesday,07:15,07:45,30.0,1,Inside,-1
PW101,,,22/02/22,21,Tuesday,08:00,10:00,120.0,0,Outside,1
CW982,,,22/02/22,21,Tuesday,10:30,12:00,90.0,1,Outside,2
ED145,,Lunch,22/02/22,21,Tuesday,12:15,13:00,45.0,2,Inside,1
L418,,,22/02/22,21,Tuesday,13:15,13:45,30.0,2,Inside,1
EL642,,,22/02/22,21,Tuesday,13:45,15:45,120.0,1,Outside,2
CW982,,Bayesian Machine Learning,22/02/22,21,Tuesday,16:15,18:15,120.0,1,Outside,2
H179,,Cooking,22/02/22,21,Tuesday,19:00,21:00,120.0,-1,Inside,1
ED145,UD415,Dinner,22/02/22,21,Tuesday,21:15,21:45,30.0,2,Inside,0
L418,,,22/02/22,21,Tuesday,21:45,22:45,60.0,2,Inside,1
EL642,,,22/02/22,21,Tuesday,23:00,23:15,15.0,1,Inside,1
S801,,,22/02/22,21,Tuesday,23:45,07:00,435.0,2,Inside,1
ED145,,Breakfast,23/02/22,21,Wednesday,07:00,07:30,30.0,2,Inside,1
PW101,,,23/02/22,21,Wednesday,07:45,09:45,120.0,-1,Outside,1
UD415,,Mobile Phone,23/02/22,21,Wednesday,10:15,10:45,30.0,0,Inside,-1
CW982,,Machine Learning 2,23/02/22,21,Wednesday,11:15,13:15,120.0,1,Outside,2
ED145,,Lunch,23/02/22,21,Wednesday,13:30,14:00,30.0,2,Inside,0
EL642,,,23/02/22,21,Wednesday,14:00,15:45,105.0,0,Outside,2
CW982,,Reinforcement Learning,23/02/22,21,Wednesday,16:15,18:15,120.0,1,Outside,2
ED145,UD415,Dinner,23/02/22,21,Wednesday,19:00,19:30,30.0,2,Inside,0
UD415,,,23/02/22,21,Wednesday,19:30,21:00,90.0,0,Inside,-2
EL642,,,23/02/22,21,Wednesday,21:15,23:30,135.0,1,Inside,1
S801,,,24/02/22,21,Thursday,23:45,06:30,405.0,2,Inside,1
ED145,,Breakfast,24/02/22,21,Thursday,06:30,07:00,30.0,2,Inside,1
PW101,,,24/02/22,21,Thursday,07:15,09:15,120.0,-1,Outside,1
CW982,,Bayesian Machine Learning,24/02/22,21,Thursday,10:15,12:15,120.0,1,Outside,2
L418,,Walking through city centre,24/02/22,21,Thursday,12:45,14:00,75.0,2,Inside,-1
ED145,UD415,Lunch,24/02/22,21,Thursday,14:15,15:00,45.0,2,Inside,1
S801,,,24/02/22,21,Thursday,15:15,18:30,195.0,2,Inside,-1
ED145,UD415,Dinner,24/02/22,21,Thursday,18:45,19:15,30.0,2,Inside,1
EL642,,,24/02/22,21,Thursday,19:30,22:00,150.0,1,Inside,1
CW982,,Applied Data Science,24/02/22,21,Thursday,22:00,23:45,105.0,1,Inside,2
