PrimaryActivityCode,SecondaryActivityCode,DescriptiveLabel,StartDate,UniBathWeekNo,DayOfWeek,StartTime,EndTime,DurationMins,EnjoymentScore,Podcast,Group Activity
S801,,,15/02/2022,24,Tuesday,01:00,10:15,555,0,0,0
L418,,Social media,15/02/2022,24,Tuesday,10:15,11:00,45,1,0,0
EL642,,Online Lectures,15/02/2022,24,Tuesday,11:15,13:15,120,0,0,0
ED145 ,L418,Breakfast,15/02/2022,24,Tuesday,13:30,14:30,60,1,1,0
L418,EL642,YouTube,15/02/2022,24,Tuesday,14:30,17:00,150,2,0,0
L418,,Social media,15/02/2022,24,Tuesday,17:00,17:30,30,1,0,0
ED145 ,L418,,15/02/2022,24,Tuesday,17:45,18:45,60,1,0,1
EL642,,Online Lectures,15/02/2022,24,Tuesday,19:00,19:45,45,0,0,0
X893,,Gym,15/02/2022,24,Tuesday,20:00,22:00,120,1,0,1
ED145 ,,Dinner,15/02/2022,24,Tuesday,22:00,22:30,30,1,1,0
O733,L418,Shower and bed,15/02/2022,24,Tuesday,22:30,23:00,30,1,1,0
S801,,,18/02/2022,24,Friday,00:30,09:00,510,1,0,0
L418,,Social media,18/02/2022,24,Friday,09:15,11:00,105,1,0,0
CW982,,,18/02/2022,24,Friday,11:15,13:15,120,1,1,0
ED145 ,L418,Breakfast,18/02/2022,24,Friday,13:30,14:30,60,1,1,0
L418,,Video Games,18/02/2022,24,Friday,15:30,18:00,150,2,0,0
ED145 ,L418,,18/02/2022,24,Friday,18:15,19:15,60,1,1,0
CW982,,,18/02/2022,24,Friday,20:00,21:45,105,1,0,0
ED145 ,,Dinner,18/02/2022,24,Friday,22:00,22:45,45,0,1,0
O733,,Shower and bed,18/02/2022,24,Friday,23:00,23:45,45,1,0,0
S801,,,19/02/2022,24,Saturday,01:00,10:00,540,-1,0,0
CW982,,,19/02/2022,24,Saturday,10:15,10:30,15,-1,0,0
L418,ED145 ,Video Games,19/02/2022,24,Saturday,10:30,17:15,405,2,0,0
ED145 ,,Lunch,19/02/2022,24,Saturday,17:30,18:30,60,1,1,0
L418,,Video Games,19/02/2022,24,Saturday,19:00,22:00,180,2,0,0
CW982,,,19/02/2022,24,Saturday,22:15,22:45,30,0,1,0
O733,,Shower and bed,19/02/2022,24,Saturday,23:00,23:45,45,0,0,0
