PrimaryActivityCode,SecondaryActivityCode,DescriptiveLabel,StartDate,UniBathWeekNo,DayOfWeek,StartTime,EndTime,DurationMins,EnjoymentScore,Meditate,Happiness
UD415,,Netflix,2022-02-17,20,Thursday,00:00:00,01:00:00,60,1.0,Yes,Very happy
EL642,UD415,Watched online lectures,2022-02-17,20,Thursday,01:00:00,02:00:00,60,0.0,,
S801,,,2022-02-17,20,Thursday,02:00:00,11:45:00,585,,,
ED145,,Breakfast,2022-02-17,20,Thursday,11:45:00,12:30:00,45,2.0,,
CW982,UD415,Assignments,2022-02-17,20,Thursday,12:30:00,15:00:00,150,0.0,,
ED145,,Lunch,2022-02-17,20,Thursday,15:00:00,16:15:00,75,1.0,,
H179,,Cleaned kitchen,2022-02-17,20,Thursday,16:15:00,17:00:00,45,-1.0,,
EL642,UD415,Watched online lectures,2022-02-17,20,Thursday,17:00:00,19:15:00,135,1.0,,
ED145,,Dinner,2022-02-17,20,Thursday,19:15:00,20:00:00,45,2.0,,
T695,,Bus to uni gym,2022-02-17,20,Thursday,20:00:00,20:45:00,45,0.0,,
X893,,Gym workout,2022-02-17,20,Thursday,20:45:00,22:15:00,90,2.0,,
T695,,Bus home from uni gym,2022-02-17,20,Thursday,22:15:00,23:00:00,45,0.0,,
ED145,,Tea and snack,2022-02-17,20,Thursday,23:00:00,23:15:00,15,1.0,,
L352,,Meditation,2022-02-17,20,Thursday,23:15:00,23:45:00,30,2.0,,
R523,,Reading a book,2022-02-18,20,Friday,23:45:00,01:15:00,90,2.0,,
S801,,,2022-02-18,20,Friday,01:15:00,10:45:00,570,,,
ED145,,Breakfast,2022-02-18,20,Friday,10:45:00,11:45:00,60,1.0,,
EL642,UD415,Watched lectures online,2022-02-18,20,Friday,11:45:00,13:30:00,105,0.0,,
L352,,Meditation,2022-02-18,20,Friday,13:30:00,14:00:00,30,2.0,,
ED145,,Lunch,2022-02-18,20,Friday,14:00:00,15:00:00,60,1.0,,
H179,,Cleaned kitchen,2022-02-18,20,Friday,15:00:00,15:45:00,45,-2.0,,
CW982,,Assignments,2022-02-18,20,Friday,15:45:00,19:00:00,195,1.0,,
ED145,,Dinner,2022-02-18,20,Friday,19:00:00,20:00:00,60,2.0,,
T695,,Bus to uni gym,2022-02-18,20,Friday,20:00:00,21:00:00,60,0.0,,
X893,,Gym,2022-02-18,20,Friday,21:00:00,22:15:00,75,1.0,,
T695,,Bus home from uni gym,2022-02-18,20,Friday,22:15:00,23:00:00,45,-2.0,,
ED145,,Protein and snack,2022-02-18,20,Friday,23:00:00,23:30:00,30,1.0,,
L352,,Playing violin,2022-02-19,20,Saturday,23:30:00,01:15:00,105,1.0,,
R523,,Wind down reading,2022-02-19,20,Saturday,01:15:00,01:45:00,30,1.0,,
S801,,,2022-02-19,20,Saturday,01:45:00,11:00:00,555,,,
ED145,,Breakfast,2022-02-19,20,Saturday,11:00:00,12:00:00,60,1.0,,
H179,,Hoovering,2022-02-19,20,Saturday,12:00:00,12:30:00,30,-2.0,,
CW982,UD415,Assignments,2022-02-19,20,Saturday,12:30:00,14:30:00,120,1.0,,
L352,UD415,Guided meditation,2022-02-19,20,Saturday,14:30:00,15:00:00,30,2.0,,
ED145,L352,Lunch and watching sports,2022-02-19,20,Saturday,15:00:00,17:15:00,135,2.0,,
CW982,UD415,Assignments,2022-02-19,20,Saturday,17:15:00,18:15:00,60,0.0,,
T695,,Walking to friends house,2022-02-19,20,Saturday,18:15:00,19:15:00,60,1.0,,
ED145,L352,Dinner at friends house,2022-02-19,20,Saturday,19:15:00,22:00:00,165,2.0,,
L352,ED145,Socializing in Bath,2022-02-19,20,Saturday,22:00:00,00:00:00,120,2.0,,
