PrimaryActivityCode,SecondaryActivityCode,DescriptiveLabel,StartDate,UniBathWeekNo,DayOfWeek,StartTime,EndTime,DurationMins,EnjoymentScore,PeopleNearby,FriendsNearby
ED145,L418,Breakfast,2022-02-12,19,Saturday,06:00,08:00,120,1,1,0
UD415,L418,,2022-02-12,19,Saturday,08:00,12:15,255,1,0,0
ED145,L418,Lunch,2022-02-12,19,Saturday,12:30,14:45,135,2,5,1
EL642,,,2022-02-12,19,Saturday,15:00,17:15,135,-1,30,3
L418,T695,,2022-02-12,19,Saturday,17:15,18:00,45,0,20,0
ED145,L418,Dinner,2022-02-12,19,Saturday,18:00,20:30,150,1,1,0
CW982,,,2022-02-12,19,Saturday,20:30,22:15,105,-2,0,0
S801,,,2022-02-12,19,Saturday,22:15,07:00,915,1,0,0
ED145,L418,Breakfast,2022-02-13,19,Sunday,07:15,08:00,45,1,1,0
L418,UD415,,2022-02-13,19,Sunday,08:00,12:00,240,2,0,0
ED145,,Lunch,2022-02-13,19,Sunday,12:00,13:00,60,0,0,0
X893,,,2022-02-13,19,Sunday,13:15,14:45,90,1,11,0
CW982,R523,,2022-02-13,19,Sunday,14:45,19:15,270,-2,0,0
ED145,L418,Dinner,2022-02-13,19,Sunday,19:15,21:15,120,1,15,2
S801,,,2022-02-13,19,Sunday,21:15,06:00,915,0,0,0
ED145,L418,Breakfast,2022-02-14,20,Monday,06:15,08:00,105,1,1,0
PW101,,,2022-02-14,20,Monday,08:15,12:15,240,0,0,0
T695,,,2022-02-14,20,Monday,12:15,13:00,45,-1,20,0
EL642,,,2022-02-14,20,Monday,13:15,15:00,105,-2,50,3
T695,L418,,2022-02-14,20,Monday,15:00,15:45,45,0,15,0
L418,UD415,,2022-02-14,20,Monday,16:00,19:15,195,1,0,0
ED145,,Dinner,2022-02-14,20,Monday,19:15,20:00,45,0,1,0
CW982,,,2022-02-14,20,Monday,20:00,22:15,135,-2,0,0
S801,,,2022-02-14,20,Monday,22:15,07:00,915,0,0,0
ED145,L418,Breakfast,2022-02-15,20,Tuesday,07:00,08:15,75,1,1,0
L418,,,2022-02-15,20,Tuesday,08:15,12:15,240,2,0,0
ED145,,Lunch,2022-02-15,20,Tuesday,12:15,13:15,60,0,10,0
L418,,,2022-02-15,20,Tuesday,13:15,20:00,405,1,0,0
S801,,,2022-02-15,20,Tuesday,20:00,06:00,840,1,0,0
