PrimaryActivityCode,SecondaryActivityCode,DescriptiveLabel,StartDate,UniBathWeekNo,DayOfWeek,StartTime,EndTime,DurationMins,EnjoymentScore,Use of Device,Reason for Use
S801,,Sleep,18/02/2022,2,Fri,00:00:00,08:00:00,480.0,2,0,Not Used
O733,,Morning routine,18/02/2022,2,Fri,08:00:00,08:30:00,30.000000000000053,0,0,Not used
ED145,,Breakfast,18/02/2022,2,Fri,08:30:00,09:15:00,45.0,0,0,Not used
EL642,UD415,Online lecture,18/02/2022,2,Fri,09:15:00,10:05:00,49.999999999999986,1,1,Online studying
CW982,UD415,Studying,18/02/2022,2,Fri,10:05:00,11:45:00,99.99999999999997,0,1,Online studying
T695,UD415,Going to Uni,18/02/2022,2,Fri,11:45:00,12:15:00,29.99999999999997,0,1,Music
EL642,,Offline Lecture,18/02/2022,2,Fri,12:15:00,01:05:00,669.9999999999999,1,0,Not used
CW982,UD415,Studying,18/02/2022,2,Fri,01:05:00,16:00:00,895.0,1,1,Online studying
PW101,ED145,Part-time,18/02/2022,2,Fri,04:00:00,22:00:00,1080.0,-1,0,Not used
T695,UD415,Returning Home,18/02/2022,2,Fri,22:00:00,22:15:00,15.000000000000107,0,1,Music
R523,UD415,Reading a book,18/02/2022,2,Fri,22:15:00,23:30:00,74.99999999999989,1,1,Reading
O733,,Night routine,18/02/2022,2,Fri,23:30:00,00:00:00,30.000000000000053,0,0,Not used
S801,,Sleep,19/02/2022,2,Sat,00:00:00,08:00:00,960.0000000000001,2,0,Not used
O733,ED145,Morning routine,19/02/2022,2,Sat,08:00:00,11:30:00,210.00000000000006,0,0,Not used
T695,UD415,going to work,19/02/2022,2,Sat,11:30:00,12:00:00,29.99999999999997,0,1,Not used
PW101,ED145,Part-time,19/02/2022,2,Sat,12:00:00,17:00:00,300.00000000000006,-1,0,Social Media
CW982,UD415,Studying,19/02/2022,2,Sat,17:00:00,19:00:00,119.99999999999989,1,1,Not used
L418,UD415,Meeting friends,19/02/2022,2,Sat,19:00:00,22:00:00,180.0,2,1,Online studying
ED145,L418,Eating dinner,19/02/2022,2,Sat,22:00:00,00:00:00,1560.0000000000002,2,0,Gaming
L418,,With friends,20/02/2022,2,Sun,00:00:00,03:00:00,1260.0,2,0,Not used
O733,,Night routine,20/02/2022,2,Sun,03:00:00,03:30:00,30.000000000000014,0,0,Not used
S801,,Sleep,20/02/2022,2,Sun,03:30:00,10:00:00,390.00000000000006,2,0,Not used
O733,,Morning routine,20/02/2022,2,Sun,10:00:00,10:15:00,14.999999999999947,0,0,Not used
ED145,,Breakfast,20/02/2022,2,Sun,10:15:00,10:30:00,15.000000000000027,1,0,Not used
R523,UD415,Reading news,20/02/2022,2,Sun,10:30:00,12:00:00,90.0,2,1,Reading
CW982,UD415,Studying,20/02/2022,2,Sun,12:00:00,16:00:00,239.99999999999994,1,1,Online studying
T695,,going to work,20/02/2022,2,Sun,16:00:00,16:15:00,15.000000000000107,0,0,Music
PW101,ED145,Part-time,20/02/2022,2,Sun,16:15:00,22:00:00,344.9999999999999,-1,0,Not used
T695,UD415,Returning Home,20/02/2022,2,Sun,22:00:00,22:15:00,15.000000000000107,-1,1,Music
O733,,Night routine,20/02/2022,2,Sun,22:15:00,22:30:00,14.999999999999947,0,0,Social Media
S801,,Sleep,20/02/2022,2,Sun,22:30:00,00:00:00,90.0,2,0,Not used
