PrimaryActivityCode,SecondaryActivityCode,DescriptiveLabel,StartDate,UniBathWeekNo,DayOfWeek,StartTime,EndTime,DurationMins,EnjoymentScore,CoffeeDrunk,Tiredness
S801,,,18/02/22,20,Friday,00:00,08:15,495,1.0,0.0,-1 (Awake)
O733,,Showering,18/02/22,20,Friday,08:15,08:45,30,0.0,0.0,2 (Very Tired)
ED145,UD415,Eating Breakfast,18/02/22,20,Friday,08:45,09:30,45,0.0,1.0,1 (Tired)
T695,UD415,,18/02/22,20,Friday,09:30,10:30,60,-1.0,1.0,1 (Tired)
CW982,EL642,Lab Work,18/02/22,20,Friday,10:30,12:15,105,-1.0,0.0,1 (Tired)
T695,,,18/02/22,20,Friday,12:15,12:30,15,0.0,0.0,0 (Normal)
PW101,EL642,Careers Talk,18/02/22,20,Friday,13:00,14:00,60,-2.0,0.0,-2 (Very Awake)
L418,,Coffee,18/02/22,20,Friday,12:30,13:00,30,2.0,1.0,-1 (Awake)
ED145,L418,Lunch,18/02/22,20,Friday,14:00,14:30,30,1.0,0.0,0 (Normal)
CW982,UD415,ADS Coursework,18/02/22,20,Friday,14:30,17:15,165,0.0,0.0,0 (Normal)
T695,UD415,Travelling home,18/02/22,20,Friday,17:15,18:45,90,-2.0,0.0,1 (Tired)
ED145,L418,Eating Dinner and Movie,18/02/22,20,Friday,18:45,19:45,60,1.0,0.0,-1 (Awake)
L418,,PC Gaming,18/02/22,20,Friday,19:45,22:30,165,2.0,1.0,0 (Normal)
H179,,Tidy,18/02/22,20,Friday,22:30,23:00,30,0.0,0.0,1 (Tired)
S801,,,18/02/22,20,Friday,23:00,00:00,60,2.0,0.0,2 (Very Tired)
S801,,Sleep,17/02/22,20,Thursday,00:00,11:15,675,2.0,0.0,0 (Normal)
H179,ED145,Tidy,17/02/22,20,Thursday,11:15,12:00,45,1.0,1.0,2 (Very Tired)
ED145,,Breakfast,17/02/22,20,Thursday,12:00,12:30,30,0.0,1.0,0 (Normal)
L418,UD415,Home relaxation,17/02/22,20,Thursday,12:30,14:00,90,0.0,0.0,-1 (Awake)
ED145,,Lunch,17/02/22,20,Thursday,14:00,14:30,30,0.0,1.0,0 (Normal)
CW982,,,17/02/22,20,Thursday,14:30,16:15,105,0.0,0.0,1 (Tired)
R523,,,17/02/22,20,Thursday,16:15,17:00,45,2.0,0.0,1 (Tired)
ED145,R523,Snack,17/02/22,20,Thursday,17:00,17:15,15,1.0,0.0,-1 (Awake)
T695,,Home to Bath,17/02/22,20,Thursday,17:15,17:45,30,-1.0,0.0,1 (Tired)
ED145,L418,Drinks with friends,17/02/22,20,Thursday,17:45,21:30,225,2.0,0.0,-2 (Very Awake)
T695,,Bath to Home,17/02/22,20,Thursday,21:30,22:15,45,-1.0,0.0,1 (Tired)
ED145,,Dinner,17/02/22,20,Thursday,22:15,22:45,30,1.0,0.0,2 (Very Tired)
S801,,,17/02/22,20,Thursday,22:45,00:00,75,2.0,0.0,2 (Very Tired)
S801,,,21/02/22,20,Monday,00:00,07:15,435,1.0,0.0,0 (Normal)
O733,,Showering,21/02/22,20,Monday,07:15,07:30,15,0.0,0.0,2 (Very Tired)
ED145,,,21/02/22,20,Monday,07:30,08:00,30,1.0,1.0,1 (Tired)
T695,,,21/02/22,20,Monday,08:00,09:15,75,-1.0,1.0,1 (Tired)
EL642,,,21/02/22,20,Monday,09:15,10:15,60,0.0,0.0,-1 (Awake)
CW982,EL642,Lab Work,21/02/22,20,Monday,10:15,12:00,105,0.0,0.0,-1 (Awake)
T695,ED145,,21/02/22,20,Monday,12:00,12:15,15,0.0,1.0,-2 (Very Awake)
EL642,,,21/02/22,20,Monday,12:15,13:15,60,1.0,0.0,0 (Normal)
T695,,,21/02/22,20,Monday,13:15,14:00,45,-1.0,1.0,-1 (Awake)
L418,,,21/02/22,20,Monday,14:00,16:00,120,1.0,0.0,-1 (Awake)
H179,L418,,21/02/22,20,Monday,16:00,16:30,30,0.0,0.0,1 (Tired)
X893,UD415,,21/02/22,20,Monday,16:30,17:15,45,1.0,0.0,-1 (Awake)
H179,ED145,Cooking food,21/02/22,20,Monday,17:15,18:45,90,2.0,0.0,1 (Tired)
L418,UD415,,21/02/22,20,Monday,18:45,22:45,240,2.0,0.0,0 (Normal)
S801,,,21/02/22,20,Monday,22:45,00:00,75,2.0,0.0,2 (Very Tired)
