PrimaryActivityCode,SecondaryActivityCode,DescriptiveLabel,StartDate,UniBathWeekNo,DayOfWeek,StartTime,EndTime,DurationMins,EnjoymentScore,GroupActivity,AtHome
S801,,,2022-02-18,20,Friday,00:00,09:30,570,0.0,NO,YES
ED145 ,,BREAKFAST,2022-02-18,20,Friday,09:30,10:15,45,0.0,NO,YES
EL642,,REINFORCEMENT ONLINE LEARNING LECTURE,2022-02-18,20,Friday,10:15,11:15,60,0.0,YES,YES
T695,,BUS TO CAMPUS,2022-02-18,20,Friday,11:15,12:15,60,0.0,NO,NO
EL642,,MACHINE LEARNING 2 LECTURE,2022-02-18,20,Friday,12:15,13:00,45,0.0,YES,NO
ED145 ,,LUNCH WITH FRIENDS,2022-02-18,20,Friday,13:00,14:00,60,1.0,YES,NO
CW982,,STUDYING IN THE LIBRARY,2022-02-18,20,Friday,14:00,16:15,135,0.0,NO,NO
ED145 ,,ONLINE LECTURE,2022-02-18,20,Friday,16:15,17:15,60,0.0,YES,NO
T695,,BUS,2022-02-18,20,Friday,17:15,18:15,60,0.0,NO,NO
UD415,,"MOBILE PHONE 
(SOCIAL MEDIA)",2022-02-18,20,Friday,18:15,19:00,45,1.0,NO,YES
ED145 ,,DINNER,2022-02-18,20,Friday,19:00,21:00,120,0.0,NO,YES
L418,,NETFLIX,2022-02-18,20,Friday,21:00,23:00,120,2.0,NO,YES
O733,,SHOWER,2022-02-18,20,Friday,23:00,23:45,45,0.0,NO,YES
UD415,,"MOBILE PHONE 
(SOCIAL MEDIA)",2022-02-18,20,Friday,23:45,00:00,15,1.0,NO,YES
S801,,,2022-02-19,20,Saturday,00:00,09:15,555,0.0,NO,YES
ED145 ,,BREAKFAST,2022-02-19,20,Saturday,09:15,09:45,30,0.0,NO,YES
X893,,RUNNING,2022-02-19,20,Saturday,09:45,10:45,60,1.0,YES,NO
O733,,SHOWER,2022-02-19,20,Saturday,10:45,11:15,30,0.0,NO,YES
UD415,,BROWSING WEB ON LAPTOP,2022-02-19,20,Saturday,11:15,13:00,105,1.0,NO,YES
ED145 ,,,2022-02-19,20,Saturday,13:00,14:00,60,0.0,NO,YES
CW982,,,2022-02-19,20,Saturday,14:00,17:00,180,-2.0,NO,YES
H179,,,2022-02-19,20,Saturday,17:00,18:45,105,-2.0,NO,YES
ED145 ,,DINNER,2022-02-19,20,Saturday,18:45,19:30,45,0.0,NO,YES
ED145 ,,DRINKS WITH FRIENDS,2022-02-19,20,Saturday,19:30,23:45,255,2.0,YES,NO
UD415,,"MOBILE PHONE 
(SOCIAL MEDIA)",2022-02-19,20,Saturday,23:45,00:00,15,0.0,NO,YES
S801,,,2022-02-20,20,Sunday,00:00,10:00,600,0.0,NO,YES
ED145 ,,BREAKFAST,2022-02-20,20,Sunday,10:00,11:00,60,0.0,NO,YES
CW982,,,2022-02-20,20,Sunday,11:00,13:30,150,-1.0,NO,YES
ED145 ,UD415,LUNCH,2022-02-20,20,Sunday,13:30,14:45,75,1.0,NO,YES
CW982,,,2022-02-20,20,Sunday,14:45,18:30,225,-1.0,NO,YES
ED145 ,,DINNER,2022-02-20,20,Sunday,18:30,20:00,90,0.0,NO,YES
UD415,,NETFLIX,2022-02-20,20,Sunday,20:00,22:00,120,2.0,NO,YES
CW982,,,2022-02-20,20,Sunday,22:00,00:00,120,0.0,NO,YES
