PrimaryActivityCode,SecondaryActivityCode,DescriptiveLabel,StartDate,UniBathWeekNo,DayOfWeek,StartTime,EndTime,DurationMins,EnjoymentScore,Used Phone?,Notification?
O733,,Shower,19/02/22,20,Saturday,09:15,09:30,15,1,False,
ED145,,Breakfast,19/02/22,20,Saturday,09:30,09:45,15,1,True,False
UD415,L418,,19/02/22,20,Saturday,09:45,10:00,15,1,True,False
T695,,,19/02/22,20,Saturday,10:15,11:00,45,0,True,False
CW982,,,19/02/22,20,Saturday,11:00,12:15,75,0,True,True
ED145,,Lunch,19/02/22,20,Saturday,12:15,12:45,30,1,False,
T695,,,19/02/22,20,Saturday,12:45,13:15,30,0,True,False
UD415,L418,,19/02/22,20,Saturday,13:15,14:15,60,2,False,
H179,,Cleaning,19/02/22,20,Saturday,14:15,15:00,45,-2,True,True
UD415,L418,,19/02/22,20,Saturday,15:00,15:30,30,1,True,False
CW982,,,19/02/22,20,Saturday,15:30,17:00,90,-1,True,False
ED145,,Dinner,19/02/22,20,Saturday,17:00,17:45,45,1,True,True
S801,,,19/02/22,20,Saturday,17:45,18:15,30,0,False,
UD415,L418,,19/02/22,20,Saturday,18:30,22:00,210,1,True,False
UD415,,,19/02/22,20,Saturday,22:15,22:45,30,1,True,True
UD415,L418,,19/02/22,20,Saturday,23:00,00:00,60,-1,True,False
R523,L418,,20/02/22,20,Sunday,00:00,00:30,30,1,False,
S801,,,20/02/22,20,Sunday,00:30,09:30,540,0,False,
ED145,,Breakfast,20/02/22,20,Sunday,09:30,09:45,15,1,True,False
UD415,L418,,20/02/22,20,Sunday,09:45,10:15,30,0,True,False
O733,,Shopping,20/02/22,20,Sunday,10:15,10:45,30,-1,True,False
T695,,,20/02/22,20,Sunday,11:00,11:45,45,0,True,False
L418,,,20/02/22,20,Sunday,11:45,12:45,60,2,True,True
T695,,,20/02/22,20,Sunday,12:45,13:00,15,0,False,
ED145,,Lunch,20/02/22,20,Sunday,13:00,13:30,30,1,False,
T695,,,20/02/22,20,Sunday,13:30,14:00,30,1,False,
L418,,,20/02/22,20,Sunday,14:00,16:15,135,2,True,False
T695,,,20/02/22,20,Sunday,16:15,16:30,15,0,False,
L418,ED145,,20/02/22,20,Sunday,16:30,19:15,165,1,True,True
T695,,,20/02/22,20,Sunday,19:30,20:15,45,0,True,False
UD415,L418,,20/02/22,20,Sunday,20:15,23:00,165,1,True,False
R523,L418,,20/02/22,20,Sunday,23:00,23:45,45,0,False,
S801,,,20/02/22,20,Sunday,23:45,07:45,480,0,False,
O733,,Shower,24/02/22,21,Thursday,08:30,08:45,15,1,False,
ED145,,Breakfast,24/02/22,21,Thursday,08:45,09:00,15,1,False,
EL642,,,24/02/22,21,Thursday,09:15,10:15,60,-1,False,
CW982,,,24/02/22,21,Thursday,10:15,12:00,105,-1,False,
UD415,L418,,24/02/22,21,Thursday,12:00,12:30,30,1,True,False
CW982,ED145,ADS Coursework + Lunch,24/02/22,21,Thursday,12:30,14:00,90,-2,True,True
X893,,,24/02/22,21,Thursday,14:15,15:00,45,1,False,
O733,,Shower,24/02/22,21,Thursday,15:15,15:30,15,2,False,
UD415,L418,,24/02/22,21,Thursday,15:30,16:45,75,1,True,False
H179,,Cleaning,24/02/22,21,Thursday,16:45,17:30,45,-2,True,True
ED145,,Dinner,24/02/22,21,Thursday,17:30,18:15,45,-1,True,False
CW982,,,24/02/22,21,Thursday,18:15,20:00,105,-1,True,True
L418,,Guitar,24/02/22,21,Thursday,20:00,20:30,30,1,False,
CW982,,,24/02/22,21,Thursday,20:30,22:15,105,-1,True,True
UD415,L418,,24/02/22,21,Thursday,22:15,00:15,120,2,True,False
R523,L418,,25/02/22,21,Friday,00:15,01:00,45,1,False,
S801,,,25/02/22,21,Friday,01:00,09:15,495,0,False,
