PrimaryActivityCode,SecondaryActivityCode,DescriptiveLabel,StartDate,UniBathWeekNo,DayOfWeek,StartTime,EndTime,DurationMins,EnjoymentScore,Pressure Level,Concentration level 
S801,,Sleeping,11/02/2022,20,Friday,00:15:00,10:00:00,585,2,0,
O733,,Getting dressed,11/02/2022,20,Friday,10:00:00,10:15:00,15,0,0,0
EL642,,Supervisor meeting,11/02/2022,20,Friday,10:15:00,11:15:00,60,1,1,3
L418,UD415,Watching Movie ,11/02/2022,20,Friday,11:15:00,12:00:00,45,2,0,1
L418,T695,Playing game,11/02/2022,20,Friday,12:00:00,13:00:00,60,1,1,2
ED145,,Lunch,11/02/2022,20,Friday,13:00:00,14:00:00,60,1,1,0
CW982,EL642,ADS Lab 3,11/02/2022,20,Friday,14:00:00,18:30:00,270,-2,3,2
UD415,,Social Media,11/02/2022,20,Friday,18:30:00,19:30:00,60,1,0,3
ED145,,Dinner,11/02/2022,20,Friday,19:30:00,20:00:00,30,2,0,1
CW982,,ADS Lab 3,11/02/2022,20,Friday,20:00:00,22:00:00,120,-2,2,1
L418,,Gym ,11/02/2022,20,Friday,22:00:00,23:00:00,60,2,0,3
L418,UD415,Gaming,11/02/2022,20,Friday,23:00:00,04:30:00,330,2,0,2
S801,,Sleeping,12/03/2022,24,Saturday,04:30:00,11:30:00,420,2,0,
O733,,Getting dressed,12/03/2022,24,Saturday,11:30:00,12:00:00,30,2,0,0
L418,T695,Went for a walk,12/03/2022,24,Saturday,12:15:00,13:15:00,60,2,2,3
L418,UD415,Gaming,12/03/2022,24,Saturday,13:15:00,18:00:00,285,2,0,2
ED145,,Dinner,12/03/2022,24,Saturday,18:00:00,19:00:00,60,0,0,0
L418,UD415,Gaming,12/03/2022,24,Saturday,19:00:00,23:00:00,240,2,0,1
S801,,Sleeping,12/03/2022,24,Saturday,23:00:00,00:00:00,60,2,0,3
CW982,EL642,ADS Lab 3,22/04/2022,30,Friday,00:00:00,02:00:00,120,-2,1,2
L418,UD415,Gaming,22/04/2022,30,Friday,02:00:00,04:00:00,120,2,0,0
S801,,Sleeping,22/04/2022,30,Friday,04:00:00,11:15:00,435,2,0,
O733,,Getting dressed,22/04/2022,30,Friday,11:15:00,11:30:00,15,2,0,0
CW982,EL642,ADS Lab 3,22/04/2022,30,Friday,11:30:00,15:00:00,210,-1,1,2
L418,UD415,Gaming,22/04/2022,30,Friday,15:00:00,18:00:00,180,2,0,1
ED145,,Dinner,22/04/2022,30,Friday,18:00:00,18:30:00,30,2,0,1
CW982,EL642,ADS Lab 3,22/04/2022,30,Friday,18:30:00,20:00:00,90,-2,2,2
X893,L418,Gym ,22/04/2022,30,Friday,20:00:00,20:30:00,30,1,0,2
CW982,EL642,ADS Lab 3,22/04/2022,30,Friday,20:30:00,22:00:00,90,-2,2,2
L418,UD415,Gaming,22/04/2022,30,Friday,22:00:00,23:00:00,60,2,0,1
L418,,Playing badminton,22/04/2022,30,Friday,23:00:00,00:00:00,60,1,0,3
L418,UD415,Gaming,01/05/2022,31,Sunday,00:00:00,04:00:00,240,2,0,0
S801,,Sleeping,01/05/2022,31,Sunday,04:00:00,12:00:00,480,2,0,
L418,UD415,Gaming,01/05/2022,31,Sunday,12:00:00,14:00:00,120,2,0,1
CW982,EL642,ADS Lab 3,01/05/2022,31,Sunday,14:00:00,16:00:00,120,-2,2,1
L418,UD415,Gaming,01/05/2022,31,Sunday,16:00:00,20:00:00,240,2,0,2
O733,UD415,Speak to family,01/05/2022,31,Sunday,20:00:00,22:00:00,120,2,0,1
S801,,Sleeping,01/05/2022,31,Sunday,22:00:00,23:00:00,60,1,0,3
CW982,EL642,ADS Lab 3,01/05/2022,31,Sunday,23:00:00,00:00:00,60,-2,2,2
