Primary Activity Code,Secondary Activity Code,Descriptive Label Code,Start Date,UniBathweekno,Day of week,Start Time,End Time,Duration (mins),Enjoyment Level,Effort Level,Pressure Score
S801,,Sleeping,10/02/2022,1,Thu,00:45:00,10:00:00,555,1,0,0
ED145,,Breakfast,10/02/2022,1,Thu,10:00:00,11:00:00,60,2,1,0
O733,,Get dressed,10/02/2022,1,Thu,11:00:00,11:30:00,30,0,0,0
EL642,UD415,Online Lecture,10/02/2022,1,Thu,12:15:00,13:05:00,50,2,2,1
L418,O733,Interacting with peers,10/02/2022,1,Thu,12:05:00,12:45:00,40,2,0,0
X893,,Went for a walk,10/02/2022,1,Thu,12:45:00,13:05:00,20,1,1,0
CW982,EL642,ADS Coursework,10/02/2022,1,Thu,13:05:00,15:05:00,120,-1,3,2
H179,,Cleaning my room,10/02/2022,1,Thu,15:05:00,15:45:00,40,-2,2,0
EL642,UD415,Going through lectures,10/02/2022,1,Thu,15:45:00,18:00:00,135,0,2,2
X893,,Running,10/02/2022,1,Thu,18:00:00,18:45:00,45,1,3,1
L418,UD415,Playing fifa,10/02/2022,1,Thu,18:45:00,20:15:00,90,2,2,1
ED145,,Dinner,10/02/2022,1,Thu,20:15:00,21:30:00,75,2,1,0
L418,UD415,Watching Netflix,10/02/2022,1,Thu,21:30:00,23:30:00,120,1,0,0
L418,,Browsing on internet,10/02/2022,1,Thu,23:30:00,00:00:00,30,1,1,0
S801,,Sleeping,11/02/2022,1,Fri,00:00:00,09:00:00,540,1,0,0
O733,,Get dressed,11/02/2022,1,Fri,09:00:00,09:30:00,30,0,1,0
ED145,,Breakfast,11/02/2022,1,Fri,09:30:00,10:30:00,60,2,1,0
R523,UD415,Reading course material,11/02/2022,1,Fri,10:30:00,11:30:00,60,0,2,1
T695,,Bus to university,11/02/2022,1,Fri,11:30:00,12:00:00,30,-1,1,1
EL642,,Lecture,11/02/2022,1,Fri,12:15:00,13:05:00,50,1,2,1
CW982,UD415,ADS Coursework,11/02/2022,1,Fri,13:10:00,15:30:00,140,1,3,2
T695,,Bus to accommodation,11/02/2022,1,Fri,15:30:00,16:00:00,30,-1,1,0
EL642,UD415,Online Lecture,11/02/2022,1,Fri,16:15:00,17:05:00,50,-1,2,1
X893,,Went for a walk,11/02/2022,1,Fri,17:10:00,17:35:00,25,1,1,0
L418,,Sat down for coffee,11/02/2022,1,Fri,17:35:00,18:15:00,40,2,0,0
T695,,Bus to accommodation,11/02/2022,1,Fri,18:15:00,18:30:00,15,-1,1,0
O733,UD415,Filling job applications,11/02/2022,1,Fri,18:30:00,20:00:00,90,-2,2,2
ED145,,Dinner,11/02/2022,1,Fri,20:00:00,21:00:00,60,2,1,0
L418,,Met with friends,11/02/2022,1,Fri,21:00:00,23:00:00,120,1,0,0
R523,UD415,Reading the news,11/02/2022,1,Fri,23:00:00,23:30:00,30,0,1,0
L418,UD415,Watching Netflix,11/02/2022,1,Fri,23:30:00,00:30:00,60,1,0,0
S801,,Sleeping,12/02/2022,1,Sat,00:30:00,10:30:00,600,1,0,0
ED145,,Coffee & breakfast,12/02/2022,1,Sat,10:30:00,11:30:00,60,2,1,0
O733,,Shower,12/02/2022,1,Sat,11:30:00,12:00:00,30,0,1,1
CW982,UD415,Completing coursework,12/02/2022,1,Sat,12:00:00,14:30:00,150,-1,2,3
EL642,UD415,Revising lectures,12/02/2022,1,Sat,14:30:00,16:30:00,120,1,3,2
L418,O733,Playing fifa,12/02/2022,1,Sat,16:30:00,19:00:00,150,2,3,2
X893,,Went for a run,12/02/2022,1,Sat,19:00:00,19:45:00,45,1,2,1
O733,,Shower,12/02/2022,1,Sat,19:45:00,20:15:00,30,0,1,1
ED145,,Dinner,12/02/2022,1,Sat,20:15:00,21:15:00,60,2,2,1
L418,,Met with friends,12/02/2022,1,Sat,21:15:00,23:30:00,135,1,1,0
L418,,Watching Netflix,12/02/2022,1,Sat,23:30:00,00:00:00,30,1,0,0
