PrimaryActivityCode,SecondaryActivityCode,DescriptiveLabel,StartDate,UniBathWeekNo,DayofWeek,StartTime,EndTime,DurationMins,EnjoymentScore,"Money spent? (if yes, how much)",Alone/Together
CW982,L222,this coursework/listening to music,21/02/2022,21,Monday,00:00,00:15,15,0,0.0,Alone
L418,L222,youtube,21/02/2022,21,Monday,00:15,01:00,45,1,0.0,Alone
EL642,L222,coding DataCamp,21/02/2022,21,Monday,01:00,03:00,120,1,0.0,Alone
S801,,,21/02/2022,21,Monday,03:00,12:00,540,1,0.0,Alone
O733,L111,shower/toilet,21/02/2022,21,Monday,12:00,12:30,30,1,0.0,Alone
ED145,L111,,21/02/2022,21,Monday,12:30,13:00,30,2,0.0,Alone
L418,T111,watching TV,21/02/2022,21,Monday,13:00,14:00,60,2,0.0,Together
T695,L111,commuting to Virgil building,21/02/2022,21,Monday,14:00,14:30,30,2,1.75,Alone
ED145,,beer,21/02/2022,21,Monday,14:30,15:30,60,2,5.8,Together
CW982,L222,,21/02/2022,21,Monday,15:30,19:30,240,1,0.0,Together
O733,,groceries,21/02/2022,21,Monday,19:30,20:30,60,0,20.7,Together
T695,L111,going home,21/02/2022,21,Monday,20:30,21:00,30,0,1.75,Alone
ED145,,cooking,21/02/2022,21,Monday,21:00,22:00,60,1,0.0,Alone
L418,T111,TV,21/02/2022,21,Monday,22:00,23:30,90,1,0.0,Together
O733,,shower/toilet,21/02/2022,21,Monday,23:30,00:00,30,0,0.0,Alone
L418,P111,YT,22/02/2022,21,Tuesday,00:00,01:30,90,0,0.0,Alone
S801,,,22/02/2022,21,Tuesday,01:30,10:30,540,0,0.0,Alone
ED145,,,22/02/2022,21,Tuesday,10:30,11:30,60,1,0.0,Alone
T695,L111,,22/02/2022,21,Tuesday,11:30,12:00,30,0,1.75,Alone
ED145,,coffee,22/02/2022,21,Tuesday,12:00,12:30,30,1,2.75,Together
EL642,L222,,22/02/2022,21,Tuesday,12:30,14:30,120,1,0.0,Alone
X893,L111,,22/02/2022,21,Tuesday,14:30,16:00,90,2,0.0,Alone
T695,,,22/02/2022,21,Tuesday,16:00,16:30,30,0,1.75,Alone
ED145,L111,cooking,22/02/2022,21,Tuesday,16:30,17:30,60,1,0.0,Alone
S801,,nap,22/02/2022,21,Tuesday,17:30,18:30,60,1,0.0,Alone
CW982,L222,,22/02/2022,21,Tuesday,18:30,21:30,180,0,0.0,Alone
R523,,,22/02/2022,21,Tuesday,21:30,22:30,60,1,0.0,Alone
L418,P111,YT,22/02/2022,21,Tuesday,22:30,00:00,90,1,0.0,Alone
S801,,,23/02/2022,21,Wednesday,00:00,08:30,510,1,0.0,Alone
O733,,shower/toilet,23/02/2022,21,Wednesday,08:30,09:00,30,1,0.0,Alone
ED145,P111,breakfast ,23/02/2022,21,Wednesday,09:00,10:00,60,1,0.0,Alone
O733,P111,on the phone with parents,23/02/2022,21,Wednesday,10:00,10:30,30,2,0.0,Alone
T695,L111,to campus,23/02/2022,21,Wednesday,10:30,12:00,90,0,1.75,Alone
ED145,,beer,23/02/2022,21,Wednesday,12:00,12:30,30,1,3.75,Together
CW982,L222,,23/02/2022,21,Wednesday,12:30,13:30,60,1,0.0,Together
ED145,,coffee,23/02/2022,21,Wednesday,13:30,13:45,15,1,2.3,Together
EL642,L222,,23/02/2022,21,Wednesday,14:00,17:00,180,0,0.0,Together
T695,L111,,23/02/2022,21,Wednesday,17:00,17:15,15,0,1.75,Alone
L418,,w\ friends,23/02/2022,21,Wednesday,17:15,18:45,90,1,8.5,Together
T695,P111,home,23/02/2022,21,Wednesday,18:45,19:45,60,1,1.75,Alone
ED145,,cooking,23/02/2022,21,Wednesday,19:45,20:45,60,1,0.0,Alone
L418,T111,watching TV,23/02/2022,21,Wednesday,20:45,22:00,75,1,0.0,Together
R523,,,23/02/2022,21,Wednesday,22:00,23:00,60,2,0.0,Alone
L418,L111,listening to music,23/02/2022,21,Wednesday,23:00,00:00,60,1,0.0,Alone
