PrimaryActivityCode,SecondaryActivityCode,DescriptiveLabel,StartDate,UniBathWeekNo,DayOfWeek,StartTime,EndTime,DurationMins,EnjoymentScore,FoodType,TransportType
UD415,,Browsing Instagram and whatsapp,2022-02-21,21,Monday,00:00,00:30,30,1,,
R523,,Reading a fiction book,2022-02-21,21,Monday,00:30,01:00,30,2,,
S801,,Regular night sleep,2022-02-21,21,Monday,01:00,08:00,420,2,,
 X893,,Morning back exercises,2022-02-21,21,Monday,08:00,08:15,15,0,,
O733,,Brush and shower,2022-02-21,21,Monday,08:15,08:45,30,1,,
ED145,,Breakfast,2022-02-21,21,Monday,08:45,09:15,30,0,Healthy,
R523,,Bible reading and quiet time,2022-02-21,21,Monday,09:15,09:45,30,2,,
T695,,Travel to University,2022-02-21,21,Monday,09:45,10:15,30,0,,Public transport
EL642,,University Lecture,2022-02-21,21,Monday,10:15,11:15,60,-1,,
ED145,L418,Break time; having coffee and cake with friends,2022-02-21,21,Monday,11:15,12:15,60,1,Junk,
EL642,,University Lecture,2022-02-21,21,Monday,12:15,13:15,60,0,,
ED145,UD415,Lunch on campus; also checked messages,2022-02-21,21,Monday,13:15,14:30,75,1,Healthy,
T695,,Travel to study space on campus,2022-02-21,21,Monday,14:30,14:45,15,0,,"Personal (walk, cycle etc.)"
CW982,,Working on coursework,2022-02-21,21,Monday,14:45,15:45,60,0,,
L418,O733,Taking a short break; listening to music,2022-02-21,21,Monday,15:45,16:00,15,1,,
CW982,,Working on coursework,2022-02-21,21,Monday,16:00,17:00,60,-1,,
T695,,Travel back home from campus,2022-02-21,21,Monday,17:00,17:45,45,0,,Public transport
L418,UD415,Snacks and watching some tv show,2022-02-21,21,Monday,17:45,18:30,45,2,Junk,
O733,,Freshen up,2022-02-21,21,Monday,18:30,19:00,30,1,,
T695,,Travel to friend's house,2022-02-21,21,Monday,19:00,19:30,30,0,,Public transport
ED145,,Dinner with friends,2022-02-21,21,Monday,19:30,20:30,60,2,Healthy,
O733,,Impact group discussion,2022-02-21,21,Monday,20:30,21:30,60,1,,
ED145,,Snacks or desserts,2022-02-21,21,Monday,21:30,21:45,15,2,Junk,
T695,,Return home,2022-02-21,21,Monday,21:45,22:15,30,0,,Car with car-pooling
L418,,Talking and music with housemates,2022-02-21,21,Monday,22:15,23:00,45,2,,
EL642,,Revising some lecture content,2022-02-21,21,Monday,23:00,00:00,-1380,-1,,
EL642,,Revision of lectures,2022-02-23,21,Wednesday,00:00,01:00,60,-1,,
UD415,,Browsing Instagram,2022-02-23,21,Wednesday,01:00,01:15,15,1,,
R523,,Reading a fiction book,2022-02-23,21,Wednesday,01:15,01:45,30,1,,
S801,,Regular night sleep,2022-02-23,21,Wednesday,01:45,08:00,375,2,,
O733,,Brush and get dressed,2022-02-23,21,Wednesday,08:00,08:30,30,0,,
ED145,,Breakfast,2022-02-23,21,Wednesday,08:30,08:45,15,0,Healthy,
T695,O733,Travel to University and listening to music,2022-02-23,21,Wednesday,08:45,09:15,30,1,,Public transport
EL642,,Lab work,2022-02-23,21,Wednesday,09:15,11:00,105,-1,,
T695,,Walking to next lab location,2022-02-23,21,Wednesday,11:00,11:15,15,0,,"Personal (walk, cycle etc.)"
EL642,,Lab work,2022-02-23,21,Wednesday,11:15,12:00,45,0,,
PW101,,Teaching assistant,2022-02-23,21,Wednesday,12:00,13:00,60,0,,
T695,,Walk to chaplaincy,2022-02-23,21,Wednesday,13:00,13:15,15,0,,"Personal (walk, cycle etc.)"
ED145,,Lunch at the chaplaincy,2022-02-23,21,Wednesday,13:15,14:30,75,1,Healthy,
EL642,,Lab work,2022-02-23,21,Wednesday,14:30,16:00,90,-1,,
ED145,L418,Quick hot chocolate break,2022-02-23,21,Wednesday,16:00,16:15,15,1,Junk,
EL642,,Lab work,2022-02-23,21,Wednesday,16:15,18:00,105,-2,,
T695,,From campus to home,2022-02-23,21,Wednesday,18:00,18:30,30,0,,Public transport
