PrimaryActivityCode,SecondaryActivityCode,DescriptiveLabel,StartDate,UniBathWeekNo,DayOfWeek,StartTime,EndTime,DurationMins,EnjoymentScore,EngagementScore,Location
S801,,,2022-02-18,20,Friday,00:00,08:00,480,0,0,
O733,,GETTING DRESSED,2022-02-18,20,Friday,08:00,08:30,30,0,0,
ED145,,BREAKFAST,2022-02-18,20,Friday,08:30,09:00,30,0,0,
L418,UD415,BROWSING INTERNET,2022-02-18,20,Friday,09:00,09:15,15,0,0,
EL642,UD415,ONLINE LECTURE,2022-02-18,20,Friday,09:15,10:00,45,1,1,Home
L418,UD415,BROWSING INTERNET,2022-02-18,20,Friday,10:00,10:30,30,1,2,
CW982,UD415,LAB WORK,2022-02-18,20,Friday,10:30,11:15,45,0,1,Home
EL642,UD415,ONLINE LECTURE,2022-02-18,20,Friday,11:15,12:15,60,-1,-1,Home
H179,,TIDYING UP,2022-02-18,20,Friday,12:15,12:30,15,-2,1,
CW982,UD415,LAB WORK,2022-02-18,20,Friday,12:30,13:00,30,-1,-1,Home
ED145,UD415,LUNCH & WATCHING TV,2022-02-18,20,Friday,13:00,13:45,45,1,0,
O733,,,2022-02-18,20,Friday,13:45,14:00,15,0,0,
R523,UD415,PROJECT RESEARCH,2022-02-18,20,Friday,14:00,15:15,75,1,1,Home
EL642,UD415,ONLINE LECTURE,2022-02-18,20,Friday,15:15,16:15,60,0,0,Home
CW982,UD415,,2022-02-18,20,Friday,16:15,16:45,30,0,2,Home
L418,H179,,2022-02-18,20,Friday,16:45,18:00,75,-1,-2,
CW982,UD415,LAB WORK,2022-02-18,20,Friday,18:00,19:30,90,-1,2,Home
H179,L418,COOKING DINNER WITH MUSIC,2022-02-18,20,Friday,19:30,20:00,30,2,1,
ED145,L418,DINNER,2022-02-18,20,Friday,20:00,20:30,30,2,1,
L418,R523,RELAXING,2022-02-18,20,Friday,20:30,22:00,90,2,0,Home
L418,UD415,BROWSING INTERNET,2022-02-18,20,Friday,22:00,22:30,30,1,0,
O733,,GETTING READY FOR BED,2022-02-18,20,Friday,22:30,22:45,15,0,0,
S801,,,2022-02-18,20,Friday,22:45,00:00,75,0,0,
S801,,,2022-02-21,21,Monday,00:00,07:30,450,0,0,
O733,,GETTING DRESSED,2022-02-21,21,Monday,07:30,07:45,15,0,0,
ED145,,BREAKFAST,2022-02-21,21,Monday,07:45,08:00,15,1,0,
H179,,TIDYING UP,2022-02-21,21,Monday,08:00,08:30,30,-1,1,
CW982,UD415,LAB WORK,2022-02-21,21,Monday,08:30,09:15,45,0,1,Home
O733,,,2022-02-21,21,Monday,09:15,09:30,15,0,0,
EL642,UD415,ONLINE LECTURE,2022-02-21,21,Monday,09:30,10:30,60,1,-1,Home
L418,UD415,BREAK,2022-02-21,21,Monday,10:30,10:45,15,1,0,
CW982,UD415,,2022-02-21,21,Monday,10:45,11:15,30,-1,-1,Home
O733,,LEAVING HOUSE,2022-02-21,21,Monday,11:15,11:30,15,0,0,
T695,,DRIVING TO UNI,2022-02-21,21,Monday,11:30,12:15,45,1,2,
EL642,,LECTURE,2022-02-21,21,Monday,12:15,13:00,45,1,1,University classroom / lecture theatre
T695,ED145,WALKING,2022-02-21,21,Monday,13:00,13:15,15,-1,-1,
EL642,,LECTURE,2022-02-21,21,Monday,13:15,14:00,45,2,2,University classroom / lecture theatre
T695,,WALKING,2022-02-21,21,Monday,14:00,14:15,15,1,0,
EL642,,LECTURE,2022-02-21,21,Monday,14:15,15:00,45,1,2,University classroom / lecture theatre
T695,L418,DRIVING + PODCAST,2022-02-21,21,Monday,15:00,15:30,30,1,2,
O733,,SHOPPING,2022-02-21,21,Monday,15:30,16:00,30,-1,-1,
T695,,DRIVING HOME,2022-02-21,21,Monday,16:00,16:15,15,1,1,
O733,H179,,2022-02-21,21,Monday,16:15,16:45,30,-2,2,
L418,,,2022-02-21,21,Monday,16:45,17:00,15,1,0,
O733,,,2022-02-21,21,Monday,17:00,17:15,15,0,0,
R523,UD415,LECTURE RECAP,2022-02-21,21,Monday,17:15,18:15,60,0,-1,Home
L418,UD415,BROWSING INTERNET,2022-02-21,21,Monday,18:15,18:45,30,1,1,
O733,,,2022-02-21,21,Monday,18:45,19:00,15,0,0,
H179,L418,COOKING,2022-02-21,21,Monday,19:00,20:00,60,2,2,
ED145,UD415,WATCHING TV,2022-02-21,21,Monday,20:00,20:30,30,0,-1,
H179,,WASHING DISHES,2022-02-21,21,Monday,20:30,20:45,15,-2,2,
L418,UD415,,2022-02-21,21,Monday,20:45,21:00,15,1,-1,
CW982,UD415,,2022-02-21,21,Monday,21:00,21:45,45,1,1,Home
L418,,,2022-02-21,21,Monday,21:45,22:45,60,2,1,
O733,,GETTING READY FOR BED,2022-02-21,21,Monday,22:45,23:00,15,0,0,
L418,UD415,,2022-02-21,21,Monday,23:00,23:15,15,0,0,
S801,,,2022-02-21,21,Monday,23:15,00:00,45,0,0,
S801,,,2022-02-23,21,Wednesday,00:00,08:00,480,0,0,
O733,,GETTING DRESSED,2022-02-23,21,Wednesday,08:00,08:30,30,0,0,
T695,,DRIVING,2022-02-23,21,Wednesday,08:30,08:45,15,0,1,
O733,,DROP OFF CAR AT GARAGE,2022-02-23,21,Wednesday,08:45,09:00,15,-2,0,
T695,,WALKING,2022-02-23,21,Wednesday,09:00,09:30,30,1,1,
O733,,SHOPPING,2022-02-23,21,Wednesday,09:30,09:45,15,0,0,
R523,UD415,,2022-02-23,21,Wednesday,09:45,10:45,60,0,-1,Home
CW982,UD415,,2022-02-23,21,Wednesday,10:45,11:45,60,0,1,Home
L418,,,2022-02-23,21,Wednesday,11:45,12:15,30,1,1,
T695,,WALKING,2022-02-23,21,Wednesday,12:15,12:45,30,2,2,
ED145,,LUNCH,2022-02-23,21,Wednesday,12:45,13:30,45,2,2,
T695,,WALKING,2022-02-23,21,Wednesday,13:30,14:00,30,2,2,
R523,UD415,EMAILS,2022-02-23,21,Wednesday,14:00,14:15,15,0,-1,Home
R523,UD415,TEXTBOOK,2022-02-23,21,Wednesday,14:15,15:00,45,1,1,Home
R523,UD415,LECTURE RECAP,2022-02-23,21,Wednesday,15:00,16:00,60,1,2,Home
T695,,WALKING,2022-02-23,21,Wednesday,16:00,16:15,15,2,1,
O733,,PICK UP CAR,2022-02-23,21,Wednesday,16:15,16:30,15,-2,0,
T695,,DRIVING,2022-02-23,21,Wednesday,16:30,16:45,15,0,1,
ED145,L418,SNACK,2022-02-23,21,Wednesday,16:45,17:00,15,2,0,
L418,UD415,PLAYING GAMES,2022-02-23,21,Wednesday,17:00,17:45,45,2,2,
X893,,RUN,2022-02-23,21,Wednesday,17:45,18:30,45,2,2,
O733,,SHOWER,2022-02-23,21,Wednesday,18:30,18:45,15,0,0,
CW982,UD415,,2022-02-23,21,Wednesday,18:45,20:00,75,-1,-1,Home
ED145,,DINNER,2022-02-23,21,Wednesday,20:00,20:45,45,1,1,
R523,UD415,LECTURE RECAP,2022-02-23,21,Wednesday,20:45,21:45,60,-2,-2,Home
H179,,WASHING DISHES,2022-02-23,21,Wednesday,21:45,22:00,15,-2,2,
L418,UD415,,2022-02-23,21,Wednesday,22:00,22:45,45,1,-1,
O733,,GETTING READY FOR BED,2022-02-23,21,Wednesday,22:45,23:00,15,0,0,
S801,,,2022-02-23,21,Wednesday,23:00,00:00,60,0,0,
