PrimaryActivityCode,SecondaryActivityCode,DescriptiveLabel,StartDate,UniBathWeekNo,DayOfWeek,StartTime,EndTime,DurationMins,EnjoymentScore,Was it raining?,Motivation Levels
S801,,,20-02-2022,21,Sunday,22:30,07:00,510,-2.0,,
EL642,UD415,,21-02-2022,22,Monday,07:15,09:15,120,-2.0,No,2.0
X893,,,21-02-2022,22,Monday,09:30,10:30,60,2.0,No,2.0
EL642,UD415,,21-02-2022,22,Monday,10:45,11:30,45,-1.0,No,3.0
O733,,Showering,21-02-2022,22,Monday,11:30,12:00,30,1.0,Yes ,
EL642,UD415,,21-02-2022,22,Monday,12:00,12:30,30,0.0,No,
CW982,UD415,,21-02-2022,22,Monday,12:30,16:00,210,1.0,No,4.0
ED145,,,21-02-2022,22,Monday,16:00,16:30,30,0.0,Yes ,2.0
CW982,UD415,,21-02-2022,22,Monday,16:30,19:00,150,-1.0,Yes ,1.0
ED145,,,21-02-2022,22,Monday,19:00,19:30,30,1.0,No,
UD415,,,21-02-2022,22,Monday,19:30,22:30,180,1.0,No,
S801,,,21-02-2022,22,Monday,22:30,08:30,600,0.0,,
O733,,Showering,22-02-2022,22,Tuesday,08:30,09:30,60,1.0,No,2.0
X893,,,22-02-2022,22,Tuesday,09:30,10:30,60,2.0,Yes ,3.0
T695,,Drive up to campus,22-02-2022,22,Tuesday,10:30,11:00,30,2.0,No,4.0
EL642,,,22-02-2022,22,Tuesday,11:15,12:00,45,-2.0,No,1.0
CW982,UD415,,22-02-2022,22,Tuesday,12:15,13:30,75,1.0,Yes ,5.0
ED145,UD415,,22-02-2022,22,Tuesday,13:30,14:00,30,2.0,No,
T695,,Driving home,22-02-2022,22,Tuesday,14:00,14:15,15,0.0,No,3.0
CW982,UD415,,22-02-2022,22,Tuesday,14:45,19:00,255,0.0,No,4.0
T695,,Driving to my match,22-02-2022,22,Tuesday,19:00,19:30,30,1.0,No,4.0
X893,,,22-02-2022,22,Tuesday,19:30,20:30,60,0.0,No,2.0
T695,,Drive to the shops,22-02-2022,22,Tuesday,20:30,20:45,15,0.0,No,1.0
O733,,Food shopping,22-02-2022,22,Tuesday,20:45,21:15,30,0.0,No,4.0
T695,,Drive home,22-02-2022,22,Tuesday,21:15,21:30,15,0.0,No,5.0
O733,,Shower,22-02-2022,22,Tuesday,21:30,22:00,30,1.0,,1.0
S801,,,22-02-2022,22,Tuesday,22:00,07:00,540,,,
EL642,UD415,,23-02-2022,22,Wednesday,07:00,08:00,60,-1.0,No,1.0
X893,,,23-02-2022,22,Wednesday,08:00,08:45,45,0.0,Yes ,1.0
T695,,Driving to campus,23-02-2022,22,Wednesday,09:00,09:30,30,0.0,No,1.0
EL642,UD415,,23-02-2022,22,Wednesday,09:30,13:15,225,0.0,Yes ,1.0
ED145,UD415,,23-02-2022,22,Wednesday,13:15,13:45,30,2.0,No,3.0
CW982,UD415,,23-02-2022,22,Wednesday,13:45,16:00,135,0.0,Yes ,4.0
EL642,UD415,,23-02-2022,22,Wednesday,16:00,18:00,120,0.0,No,5.0
T695,,Driving home,23-02-2022,22,Wednesday,18:00,18:30,30,1.0,No,1.0
ED145,,,23-02-2022,22,Wednesday,18:30,19:30,60,2.0,No,5.0
UD415,,Watch TV,23-02-2022,22,Wednesday,19:30,23:00,210,1.0,,
S801,,,23-02-2022,22,Wednesday,23:00,09:00,600,2.0,,
