PrimaryActivityCode,SecondaryActivityCode,DescriptiveLabel,StartDate,UniBathWeekNo,DayOfWeek,StartTime,EndTime,DurationMins,EnjoymentScore,EnergyConsumption,MentalConsumption
S801,,Sleeping,2022/2/21,21,MON,2:00,9:30,450,-1,2,2
ED145,,Breakfast,2022/2/21,21,MON,9:30,10:00,30,1,1,0
EL642,,Face to face lecture,2022/2/21,21,MON,10:15,11:15,60,0,-1,-2
CW982,,Course work,2022/2/21,21,MON,12:00,14:00,120,1,-1,-1
EL642,,Face to face lecture,2022/2/21,21,MON,14:15,15:15,60,1,-1,-2
ED145,,Dinner,2022/2/21,21,MON,17:00,18:00,60,2,1,1
CW982,,Course work,2022/2/21,21,MON,18:30,20:00,90,1,-1,-1
L418,UD415,Computer Games,2022/2/21,21,MON,20:00,23:00,180,2,-1,-1
S801,,Sleeping,2022/2/22,21,TUE,1:45,10:00,495,0,2,2
ED145,,Breakfast,2022/2/22,21,TUE,10:30,11:00,30,0,1,0
EL642,,Face to face lecture,2022/2/22,21,TUE,11:15,12:15,60,-1,-2,-2
ED145,,Lunch,2022/2/22,21,TUE,12:30,13:00,30,2,1,1
EL642,,Face to face lecture,2022/2/22,21,TUE,13:15,14:15,60,2,-1,-1
EL642,UD415,Online lecture,2022/2/22,21,TUE,16:15,17:15,60,2,-1,-1
ED145,,Dinner,2022/2/22,21,TUE,18:00,19:00,60,2,1,1
CW982,,Course work,2022/2/22,21,TUE,19:30,21:00,90,1,-1,-1
L418,UD415,Computer Games,2022/2/22,21,THU,22:00,23:00,60,2,-1,-1
S801,,Sleeping,2022/2/24,21,THU,2:30,12:00,570,2,2,2
ED145,,Lunch,2022/2/24,21,THU,12:30,13:30,60,2,1,1
EL642,,Face to face lecture,2022/2/24,21,THU,14:15,16:15,120,2,-2,-2
ED145,,Dinner,2022/2/24,21,THU,17:30,19:00,90,2,1,1
CW982,,Course work,2022/2/24,21,THU,20:00,22:00,120,1,-1,-2
