PrimaryActivityCode,SecondaryActivityCode,DescriptiveLabel,StartDate,UniBathWeekNo,DayOfWeek,StartTime,EndTime,DurationMins,EnjoymentScore,StressLevel,SelfRegulation
UD415,,Using Devices,18/02/2022,20,Friday,00:00:00,02:00:00,120,1,2,Not in Plan
R523,,Reading,18/02/2022,20,Friday,02:00:00,07:00:00,300,0,5,Not in Plan
S801,,Sleep,18/02/2022,20,Friday,07:00:00,14:15:00,435,2,0,"Plan, Inaccurate time"
O733,,Other,18/02/2022,20,Friday,14:15:00,15:00:00,45,0,0,"Plan, Accurate time"
R523,,Reading,18/02/2022,20,Friday,15:00:00,15:45:00,45,0,5,"Plan, Accurate time"
T695,,Travelling,18/02/2022,20,Friday,15:45:00,16:00:00,15,0,0,"Plan, Accurate time"
PW101,,Paid Work,18/02/2022,20,Friday,16:00:00,22:00:00,360,0,2,"Plan, Accurate time"
T695,,Travelling,18/02/2022,20,Friday,22:00:00,22:15:00,15,0,0,"Plan, Accurate time"
O733,,Other,18/02/2022,20,Friday,22:15:00,22:30:00,15,0,0,"Plan, Accurate time"
R523,ED145,Reading,18/02/2022,20,Friday,22:30:00,23:00:00,30,1,0,"Plan, Accurate time"
R523,,Reading,18/02/2022,20,Friday,23:00:00,03:30:00,270,1,3,"Plan, Inaccurate time"
S801,,Sleep,19/02/2022,20,Saturday,03:30:00,10:00:00,390,1,0,"Plan, Inaccurate time"
H179,,Housework,19/02/2022,20,Saturday,10:00:00,10:45:00,45,1,1,"Plan, Accurate time"
EL642,,Education / Lectures,19/02/2022,20,Saturday,10:45:00,15:00:00,255,1,5,"Plan, Accurate time"
O733,,Other,19/02/2022,20,Saturday,15:00:00,15:45:00,45,0,0,"Plan, Accurate time"
T695,,Travelling,19/02/2022,20,Saturday,15:45:00,16:00:00,15,0,0,"Plan, Accurate time"
PW101,,Paid Work,19/02/2022,20,Saturday,16:00:00,23:00:00,420,0,3,"Plan, Accurate time"
ED145,,Eating / Drinking,19/02/2022,20,Saturday,23:00:00,01:15:00,135,2,1,"Plan, Accurate time"
T695,,Travelling,19/02/2022,20,Saturday,01:15:00,01:30:00,15,1,0,"Plan, Accurate time"
R523,,Reading,22/02/2022,21,Tuesday,00:00:00,02:00:00,120,0,4,"Plan, Inaccurate time"
UD415,,Using Devices,22/02/2022,21,Tuesday,02:00:00,06:15:00,255,0,2,Not in Plan
S801,,Sleep,22/02/2022,21,Tuesday,06:15:00,09:30:00,195,0,0,"Plan, Inaccurate time"
O733,,Other,22/02/2022,21,Tuesday,09:30:00,10:15:00,45,0,0,"Plan, Accurate time"
T695,,Travelling,22/02/2022,21,Tuesday,10:15:00,10:45:00,30,1,0,"Plan, Accurate time"
R523,ED145,Reading,22/02/2022,21,Tuesday,10:45:00,11:15:00,30,1,0,"Plan, Accurate time"
EL642,,Education / Lectures,22/02/2022,21,Tuesday,11:15:00,12:00:00,45,0,1,"Plan, Accurate time"
T695,,Travelling,22/02/2022,21,Tuesday,12:10:00,12:30:00,20,0,0,"Plan, Inaccurate time"
L418,,Leisure,22/02/2022,21,Tuesday,12:30:00,13:00:00,30,2,0,"Plan, Accurate time"
CW982,H179,Coursework,22/02/2022,21,Tuesday,13:00:00,14:00:00,60,2,2,"Plan, Accurate time"
CW982,,Coursework,22/02/2022,21,Tuesday,14:00:00,19:00:00,300,1,5,"Plan, Accurate time"
L418,,Leisure,22/02/2022,21,Tuesday,19:05:00,19:20:00,15,2,0,"Plan, Accurate time"
O733,UD415,Other,22/02/2022,21,Tuesday,19:20:00,20:05:00,45,2,0,"Plan, Accurate time"
O733,UD415,Other,22/02/2022,21,Tuesday,20:05:00,20:20:00,15,2,0,"Plan, Accurate time"
ED145,UD415,Eating / Drinking,22/02/2022,21,Tuesday,20:30:00,21:30:00,60,2,0,"Plan, Inaccurate time"
UD415,,Using Devices,22/02/2022,21,Tuesday,21:30:00,23:00:00,90,2,0,Not in Plan
EL642,,Education / Lectures,22/02/2022,21,Tuesday,23:00:00,01:30:00,150,2,1,"Plan, Inaccurate time"
