PrimaryActivityCode,SecondaryActivityCode,DescriptiveLabel,StartDate,UniBathWeekNo,DayOfWeek,StartTime,EndTime,DurationMins,EnjoymentScore,ActivityPriorityScore,IndoorOrOutdoor?
S801,,Sleep,22/02/2022,21,Tuesday,00:00:00,06:00:00,360,2,3,Indoor
X893,,Exercise/ Walk,22/02/2022,21,Tuesday,06:00:00,07:00:00,60,1,1,Outdoor
ED145,,Breakfast,22/02/2022,21,Tuesday,07:30:00,08:00:00,30,2,3,Indoor
L418,R523,Relax,22/02/2022,21,Tuesday,08:00:00,09:00:00,60,1,0,Indoor
EL642,CW982,University,22/02/2022,21,Tuesday,09:00:00,18:15:00,555,0,3,Hybrid
T695,L418,University to Accomodation,22/02/2022,21,Tuesday,18:15:00,19:00:00,45,1,3,Outdoor
ED145,H179,Dinner,22/02/2022,21,Tuesday,19:00:00,20:00:00,60,-1,2,Indoor
L418,UD415,Relax,22/02/2022,21,Tuesday,20:00:00,20:30:00,30,1,2,Indoor
CW982,,ADS Lab 3,22/02/2022,21,Tuesday,20:30:00,22:30:00,120,-1,3,Indoor
O733,UD415,Talking with family,22/02/2022,21,Tuesday,22:30:00,00:00:00,90,1,1,Indoor
S801,,Sleep,23/02/2022,21,Wednesday,00:00:00,06:30:00,390,2,3,Indoor
T695,X893,Light Walk,23/02/2022,21,Wednesday,06:30:00,07:00:00,30,1,1,Outdoor
ED145,,Breakfast,23/02/2022,21,Wednesday,07:00:00,07:30:00,30,2,3,Indoor
L418,H179,Miscellanous,23/02/2022,21,Wednesday,07:30:00,08:30:00,60,0,3,Indoor
UD415,,Emails,23/02/2022,21,Wednesday,08:30:00,09:00:00,30,0,3,Indoor
T695,,Going to University,23/02/2022,21,Wednesday,09:00:00,09:15:00,15,-1,3,Outdoor
EL642,CW982,Lectures/ Labs,23/02/2022,21,Wednesday,09:15:00,14:15:00,300,-2,3,Hybrid
ED145,L418,Lunch/ Relax,23/02/2022,21,Wednesday,14:15:00,15:00:00,45,1,2,Outdoor
CW982,,Lab,23/02/2022,21,Wednesday,15:00:00,17:15:00,135,1,3,Hybrid
T695,O733,Groceries,23/02/2022,21,Wednesday,17:15:00,19:00:00,105,-1,2,Hybrid
ED145,,Dinner,23/02/2022,21,Wednesday,19:00:00,19:30:00,30,2,3,Indoor
CW982,,ADS Lab 3,23/02/2022,21,Wednesday,19:30:00,22:00:00,150,0,3,Indoor
L418,,Out with Friends,23/02/2022,21,Wednesday,22:00:00,23:30:00,90,1,1,Hybrid
H179,,Miscellanous,23/02/2022,21,Wednesday,23:30:00,00:00:00,30,-2,2,Indoor
S801,,Sleep,24/02/2022,21,Thursday,00:00:00,06:00:00,360,2,3,Indoor
ED145,L418,Breakfast/ Relax,24/02/2022,21,Thursday,06:00:00,07:00:00,60,1,3,Indoor
O733,,placement application,24/02/2022,21,Thursday,07:00:00,08:30:00,90,0,2,Indoor
X893,,Light Exercise,24/02/2022,21,Thursday,08:30:00,09:00:00,30,-1,1,Indoor
PW101,,part time work,24/02/2022,21,Thursday,09:00:00,16:30:00,450,0,2,Hybrid
ED145,L418,Tea/ Coffee with friends,24/02/2022,21,Thursday,16:30:00,17:30:00,60,1,2,Outdoor
H179,,Laundry,24/02/2022,21,Thursday,17:30:00,19:00:00,90,1,1,Indoor
ED145,,Dinner,24/02/2022,21,Thursday,19:00:00,20:00:00,60,2,3,Indoor
CW982,,ADS Lab 3,24/02/2022,21,Thursday,20:00:00,22:00:00,120,1,3,Indoor
EL642,UD415,Panopto Lecture,24/02/2022,21,Thursday,22:00:00,23:00:00,60,0,2,Indoor
L418,UD415,Social Media,24/02/2022,21,Thursday,23:00:00,00:00:00,60,1,1,Indoor
