PrimaryActivityCode,SecondaryActivityCode,DescriptiveLabel,StartDate,UniBathWeekNo,DayOfWeek,StartTime,EndTime,DurationMins,EnjoymentScore,PhysicalMentalFatigue,ChallengesWithActivity
S801,,,2022-02-20,20.0,Sunday,01:00:00,08:30:00,450.0,0,0,1
UD415,,Checking up on family,2022-02-20,20.0,Sunday,08:30:00,08:45:00,14.999999999999947,1,1,1
X893,UD415,Exercising with music,2022-02-20,20.0,Sunday,08:45:00,09:15:00,30.000000000000053,2,1,1
O733,UD415,Getting ready with music,2022-02-20,20.0,Sunday,09:15:00,09:45:00,29.99999999999997,1,0,1
T695,UD415,Travelling with music,2022-02-20,20.0,Sunday,09:45:00,10:00:00,15.000000000000027,1,0,1
PW101,,,2022-02-20,20.0,Sunday,10:00:00,16:00:00,359.99999999999994,1,-1,0
T695,,Travelling with music,2022-02-20,20.0,Sunday,16:00:00,16:15:00,15.000000000000107,0,-2,0
UD415,,Talking to family & social media,2022-02-20,20.0,Sunday,16:15:00,17:00:00,45.0,1,-1,1
S801,,,2022-02-20,20.0,Sunday,17:00:00,18:30:00,90.0,2,1,1
L418,R523,,2022-02-20,20.0,Sunday,18:30:00,19:30:00,59.99999999999994,1,0,1
ED145,UD415,Eating & watching netflix,2022-02-20,20.0,Sunday,19:30:00,21:00:00,90.0,2,1,1
CW982,UD415,,2022-02-20,20.0,Sunday,21:00:00,23:30:00,149.99999999999994,1,0,0
L418,UD415,,2022-02-20,20.0,Sunday,23:30:00,00:45:00,75.0,1,0,1
S801,,,2022-02-21,21.0,Monday,01:00:00,09:00:00,480.0,2,2,1
UD415,,Checking up on family,2022-02-21,21.0,Monday,09:00:00,09:15:00,15.000000000000027,1,1,1
X893,UD415,Exercising with music,2022-02-21,21.0,Monday,09:15:00,09:45:00,29.99999999999997,1,1,0
CW982,,,2022-02-21,21.0,Monday,10:00:00,12:00:00,119.99999999999997,0,1,0
ED145,UD415,Eating while talking with family,2022-02-21,21.0,Monday,12:00:00,12:30:00,30.000000000000053,1,0,0
O733,,Getting ready,2022-02-21,21.0,Monday,12:30:00,13:00:00,29.999999999999893,0,0,1
T695,UD415,Going to campus,2022-02-21,21.0,Monday,13:00:00,13:15:00,15.000000000000107,0,0,1
EL642,,,2022-02-21,21.0,Monday,13:15:00,14:15:00,59.99999999999994,0,0,0
L418,,,2022-02-21,21.0,Monday,14:15:00,15:00:00,45.0,1,0,1
T695,UD415,,2022-02-21,21.0,Monday,15:00:00,15:15:00,14.999999999999947,0,-1,1
UD415,,,2022-02-21,21.0,Monday,15:15:00,15:45:00,30.000000000000053,0,-1,1
T695,,,2022-02-21,21.0,Monday,16:00:00,16:15:00,15.000000000000107,0,-1,1
O733,,Shopping,2022-02-21,21.0,Monday,16:15:00,17:15:00,59.99999999999994,1,-1,0
T695,,,2022-02-21,21.0,Monday,17:15:00,17:45:00,30.000000000000053,-2,-2,0
H179,,Clearing and cooking,2022-02-21,21.0,Monday,17:45:00,18:30:00,45.0,0,-2,1
ED145,UD415,,2022-02-21,21.0,Monday,18:30:00,20:00:00,90.0,1,-1,1
L418,,,2022-02-21,21.0,Monday,20:00:00,20:30:00,29.999999999999893,1,0,1
CW982,UD415,,2022-02-21,21.0,Monday,20:30:00,00:15:00,225.0,0,0,-1
S801,,,2022-02-22,21.0,Tuesday,00:30:00,09:00:00,510.0,1,1,1
X893,,,2022-02-22,21.0,Tuesday,09:00:00,09:30:00,29.99999999999997,1,0,0
UD415,,Personal research,2022-02-22,21.0,Tuesday,09:30:00,12:00:00,150.00000000000003,1,0,0
UD415,,Meeting,2022-02-22,21.0,Tuesday,12:00:00,12:30:00,30.000000000000053,1,0,1
UD415,,Personal research,2022-02-22,21.0,Tuesday,12:30:00,14:00:00,90.0,0,0,1
O733,,Getting Ready,2022-02-22,21.0,Tuesday,14:00:00,14:30:00,29.999999999999893,1,1,1
T695,UD415,,2022-02-22,21.0,Tuesday,14:30:00,14:45:00,15.000000000000107,1,1,1
O733,,Meeting,2022-02-22,21.0,Tuesday,14:45:00,15:00:00,14.999999999999947,1,1,0
ED145,,Lunch,2022-02-22,21.0,Tuesday,15:00:00,15:15:00,14.999999999999947,2,1,1
T695,UD415,,2022-02-22,21.0,Tuesday,15:15:00,15:30:00,15.000000000000107,2,2,1
UD415,,Doing research and talking with family,2022-02-22,21.0,Tuesday,15:30:00,17:00:00,90.0,1,0,0
UD415,,Group meeting,2022-02-22,21.0,Tuesday,17:00:00,17:30:00,29.999999999999893,1,0,0
H179,,Cleaning and cooking,2022-02-22,21.0,Tuesday,17:30:00,18:45:00,75.00000000000006,0,-1,1
ED145,UD415,,2022-02-22,21.0,Tuesday,19:00:00,20:00:00,60.00000000000011,2,0,1
L418,UD415,,2022-02-22,21.0,Tuesday,20:00:00,21:00:00,59.99999999999994,1,1,1
CW982,,,2022-02-22,21.0,Tuesday,21:00:00,01:30:00,270.0,1,0,0
S801,,,2022-02-23,21.0,Wednesday,01:30:00,08:00:00,390.0,0,-2,0
