PrimaryActivityCode,SecondaryActivityCode,DescriptionLabel,StartDate,UniBathWeekNo,DayOfWeek,StartTime,EndTime,DurationMins,EnjoyementScore,AdditionalData1,AdditionalData2
H179,ED145,Cleaning and breakfast,2022-02-18,20,Friday,09:00:00,09:30:00,30,1,2,-1
O733,,,2022-02-18,20,Friday,09:30:00,11:20:00,105,0,1,0
L418,ED145,Movie and lunch,2022-02-18,20,Friday,11:30:00,14:45:00,195,2,2,-2
EL642,UD415,,2022-02-18,20,Friday,15:00:00,17:00:00,120,-1,0,2
PW101,,Part time job,2022-02-18,20,Friday,17:00:00,21:00:00,240,-2,0,2
ED145,L418,dinner and walk,2022-02-18,20,Friday,21:15:00,22:30:00,75,2,1,2
R523,EL642,,2022-02-18,20,Friday,22:30:00,23:30:00,60,-1,-2,2
S801,,,2022-02-18,20,Friday,23:30:00,08:45:00,555,2,2,-2
EL642,ED145,,2022-02-19,20,Saturday,09:00:00,12:05:00,180,0,1,0
T695,,reaching university,2022-02-19,20,Saturday,12:15:00,12:45:00,30,2,2,-2
O733,,Lab sessions,2022-02-19,20,Saturday,13:00:00,15:05:00,120,0,-1,1
L418,T695,walking back home,2022-02-19,20,Saturday,15:10:00,16:15:00,60,2,2,1
H179,ED145,,2022-02-19,20,Saturday,16:15:00,18:45:00,150,0,-2,2
O733,,finishing lab ,2022-02-19,20,Saturday,19:00:00,20:30:00,90,-2,-2,2
S801,,,2022-02-19,20,Saturday,20:30:00,08:30:00,720,2,2,-2
,,exercise,2022-02-20,20,Sunday,08:30:00,09:00:00,30,2,2,-2
H179,ED145,cleaning and breakfast,2022-02-20,20,Sunday,09:00:00,10:30:00,90,1,0,-1
L418,T695,reaching university,2022-02-20,20,Sunday,10:45:00,11:15:00,30,2,2,-1
EL642,,,2022-02-20,20,Sunday,11:15:00,14:05:00,165,0,0,1
L418,ED145,lunch,2022-02-20,20,Sunday,14:20:00,15:00:00,45,2,2,1
O733,,,2022-02-20,20,Sunday,15:15:00,17:05:00,105,0,0,1
UD415,H179,,2022-02-20,20,Sunday,17:25:00,18:00:00,30,0,-1,2
EL642,,,2022-02-20,20,Sunday,18:00:00,20:00:00,120,1,1,1
ED145,L418,,2022-02-20,20,Sunday,20:00:00,21:00:00,60,2,2,0
S801,,,2022-02-20,20,Sunday,21:15:00,09:00:00,705,2,2,-2
