,PrimaryActivityCode,SecondaryActivityCode,DescriptiveLabel,StartDate,UniBathWeekNo,DayOfWeek,StartTime,EndTime,DurationMins,EnjoymentScore,FruitVeg,AlcUnit
0,S801,,,11/02/2022,19.0,Friday,00:00,08:00,480.0,2,0.0,0.0
1,ED145,UD415,,11/02/2022,19.0,Friday,08:00,09:00,60.0,1,2.0,0.0
2,O733,H179,,11/02/2022,19.0,Friday,09:00,09:30,30.0,0,0.0,0.0
3,T695,UD415,,11/02/2022,19.0,Friday,09:30,10:00,30.0,2,0.0,0.0
4,EL642,,,11/02/2022,19.0,Friday,10:00,13:00,180.0,0,0.0,0.0
5,ED145,UD415,,11/02/2022,19.0,Friday,13:00,13:30,30.0,2,2.0,0.0
6,CW982,UD415,,11/02/2022,19.0,Friday,13:30,15:00,90.0,-1,0.0,0.0
7,L418,,,11/02/2022,19.0,Friday,15:00,15:30,30.0,1,0.0,0.0
8,EL642,,,11/02/2022,19.0,Friday,15:30,17:30,120.0,0,0.0,0.0
9,O733,,Rehearsing.,11/02/2022,19.0,Friday,17:30,19:30,120.0,2,0.0,0.0
10,X893,UD415,,11/02/2022,19.0,Friday,19:30,20:45,75.0,1,0.0,0.0
11,T695,,,11/02/2022,19.0,Friday,20:45,21:00,15.0,2,0.0,0.0
12,ED145,UD415,,11/02/2022,19.0,Friday,21:00,22:00,60.0,1,3.0,2.0
13,L418,ED145,,11/02/2022,19.0,Friday,22:00,22:45,45.0,1,0.0,4.0
14,R523,,,11/02/2022,19.0,Friday,22:45,23:30,45.0,0,0.0,0.0
15,S801,,,11/02/2022,19.0,Friday,23:30,07:30,960.0,-2,0.0,0.0
16,ED145,UD415,,12/02/2022,19.0,Saturday,07:30,07:45,15.0,1,1.0,0.0
17,X893,UD415,,12/02/2022,19.0,Saturday,07:45,09:15,90.0,2,0.0,0.0
18,ED145,H179,,12/02/2022,19.0,Saturday,09:15,09:45,30.0,2,1.0,0.0
19,L418,UD415,,12/02/2022,19.0,Saturday,09:45,11:45,120.0,1,0.0,0.0
20,H179,UD415,,12/02/2022,19.0,Saturday,11:45,12:30,45.0,1,0.0,0.0
21,ED145,UD415,,12/02/2022,19.0,Saturday,12:30,13:00,30.0,1,2.0,0.0
22,T695,,,12/02/2022,19.0,Saturday,13:00,13:15,15.0,-1,0.0,0.0
23,PW101,R523,,12/02/2022,19.0,Saturday,13:15,17:30,255.00000000000003,1,0.0,0.0
24,L418,UD415,,12/02/2022,19.0,Saturday,17:30,18:00,30.0,0,0.0,0.0
25,T695,,,12/02/2022,19.0,Saturday,18:00,18:15,15.0,0,0.0,0.0
26,ED145,UD415,,12/02/2022,19.0,Saturday,18:15,19:15,60.0,1,2.0,0.0
27,L418,ED145,,12/02/2022,19.0,Saturday,19:15,23:30,255.00000000000003,2,1.0,4.0
28,R523,,,12/02/2022,19.0,Saturday,23:30,23:45,15.0,-1,0.0,0.0
29,S801,,,13/02/2022,19.0,Sunday,23:45,08:00,945.0,2,0.0,0.0
30,ED145,H179,,13/02/2022,19.0,Sunday,08:00,09:00,60.0,1,1.0,0.0
31,T695,,,13/02/2022,19.0,Sunday,09:00,09:15,15.0,1,0.0,0.0
32,ED145,,,13/02/2022,19.0,Sunday,09:15,09:30,15.0,2,1.0,0.0
33,O733,,Rehearsing.,13/02/2022,19.0,Sunday,09:30,12:30,180.0,1,0.0,0.0
34,ED145,UD415,,13/02/2022,19.0,Sunday,12:30,13:00,30.0,2,1.0,0.0
35,O733,,Rehearsing.,13/02/2022,19.0,Sunday,13:00,14:30,90.0,1,0.0,0.0
36,T695,UD415,,13/02/2022,19.0,Sunday,14:30,14:45,15.0,0,0.0,0.0
37,ED145,,,13/02/2022,19.0,Sunday,14:45,15:15,30.0,1,0.0,0.0
38,CW982,UD415,,13/02/2022,19.0,Sunday,15:15,18:30,195.0,0,0.0,0.0
39,ED145,UD415,,13/02/2022,19.0,Sunday,18:30,19:30,60.0,1,3.0,0.0
40,L418,UD415,,13/02/2022,19.0,Sunday,19:30,22:30,180.0,-1,0.0,0.0
41,R523,,,13/02/2022,19.0,Sunday,22:30,23:00,30.0,-1,0.0,0.0
42,S801,,,13/02/2022,19.0,Sunday,23:00,00:00,1380.0,2,0.0,0.0
