PrimaryActivityCode,SecondaryActivityCode,DescriptiveLabel,StartDate,UniBathWeekNo,DayOfWeek,StartTime,EndTime,EnjoymentScore,Were you at home?,PrimaryActivityFocusLevel
S801 ,nan,Sleeping,2022-02-19,19.0,Saturday,23:15:00,07:30:00,1.0,Home,0.0
UD415 ,nan,Using phone,2022-02-19,19.0,Saturday,07:30:00,08:00:00,2.0,Home,0.0
ED145 ,R523 ,Breakfast/Reading,2022-02-19,19.0,Saturday,08:00:00,08:30:00,1.0,Home,1.0
EL642 ,nan,Online Lectures,2022-02-19,19.0,Saturday,08:30:00,09:30:00,1.0,Home,1.0
EL642 ,UD415 ,Online Lectures/Using phone,2022-02-19,19.0,Saturday,09:30:00,10:30:00,-1.0,Home,-1.0
ED145 ,nan,Making lunch,2022-02-19,19.0,Saturday,10:30:00,11:00:00,-1.0,Home,-1.0
UD415 ,nan,Using phone,2022-02-19,19.0,Saturday,11:00:00,11:15:00,-1.0,Home,0.0
ED145 ,nan,Lunch,2022-02-19,19.0,Saturday,11:15:00,11:45:00,1.0,Home,0.0
EL642 ,UD415 ,Online Lectures/Using phone,2022-02-19,19.0,Saturday,12:00:00,13:00:00,0.0,Home,-1.0
L418 ,nan,Gaming,2022-02-19,19.0,Saturday,13:00:00,13:45:00,2.0,Home,1.0
T695 ,nan,Travelling,2022-02-19,19.0,Saturday,13:45:00,14:00:00,2.0,Others,0.0
O733 ,T695 ,Roaming the city,2022-02-19,19.0,Saturday,14:00:00,16:30:00,1.0,Others,0.0
T695 ,nan,Travelling back home,2022-02-19,19.0,Saturday,16:30:00,16:45:00,0.0,Others,0.0
O733 ,nan,Showering/Getting dressed,2022-02-19,19.0,Saturday,16:45:00,17:30:00,-1.0,Home,0.0
ED145 ,L418 ,Dinner/Watching the Witcher,2022-02-19,19.0,Saturday,17:30:00,18:00:00,2.0,Home,1.0
O733 ,nan,Pub,2022-02-19,19.0,Saturday,18:00:00,20:30:00,2.0,Others,0.0
T695 ,nan,Travelling back home,2022-02-19,19.0,Saturday,20:30:00,20:45:00,-2.0,Others,-1.0
L418 ,nan,Smoking ,2022-02-19,19.0,Saturday,20:45:00,21:00:00,2.0,Home,0.0
L418 ,nan,Watching the Witcher,2022-02-19,19.0,Saturday,21:00:00,22:00:00,2.0,Home,1.0
L418 ,UD415 ,Gaming/Social Media,2022-02-19,19.0,Saturday,22:00:00,22:45:00,2.0,Home,0.0
S801 ,nan,Sleeping,2022-02-19,19.0,Saturday,23:00:00,08:15:00,1.0,Home,0.0
UD415 ,nan,Social media,2022-02-20,19.0,Sunday,08:15:00,08:30:00,1.0,Home,0.0
ED145 ,CW982 ,Breakfast/ADS Lab 3,2022-02-20,19.0,Sunday,08:30:00,09:00:00,-1.0,Home,1.0
O733 ,nan,Showering/Getting dressed,2022-02-20,19.0,Sunday,09:00:00,09:30:00,0.0,Home,1.0
T695 ,nan,Walking to University,2022-02-20,19.0,Sunday,09:30:00,10:00:00,-1.0,University,0.0
EL642 ,nan,ML2 Lecture,2022-02-20,19.0,Sunday,10:15:00,11:15:00,1.0,University,1.0
ED145 ,nan,Lunch,2022-02-20,19.0,Sunday,11:15:00,12:00:00,0.0,University,1.0
CW982 ,nan,ML2 Lab,2022-02-20,19.0,Sunday,12:15:00,13:15:00,-1.0,University,-1.0
L418 ,ED145 ,SU Pool & Beer,2022-02-20,19.0,Sunday,13:15:00,14:15:00,2.0,University,0.0
T695 ,nan,Walking back home,2022-02-20,19.0,Sunday,14:15:00,14:45:00,-1.0,Home,0.0
CW982 ,nan,Dissertation Research,2022-02-20,19.0,Sunday,15:00:00,17:00:00,-2.0,Home,-1.0
T695 ,H179 ,Groceries,2022-02-20,19.0,Sunday,17:00:00,17:45:00,-1.0,Others,0.0
ED145 ,nan,Cooking Dinner,2022-02-20,19.0,Sunday,18:00:00,18:30:00,0.0,Home,0.0
ED145 ,L418 ,Dinner/Watching the Witcher,2022-02-20,19.0,Sunday,18:45:00,19:30:00,2.0,Home,1.0
CW982 ,UD415 ,ADS Lab 3,2022-02-20,19.0,Sunday,19:30:00,20:30:00,-1.0,Home,-1.0
L418 ,UD415 ,Gaming,2022-02-20,19.0,Sunday,20:30:00,21:30:00,2.0,Home,1.0
L418 ,nan,Smoking ,2022-02-20,19.0,Sunday,21:30:00,21:45:00,2.0,Home,0.0
L418 ,UD415 ,Social media/Gaming,2022-02-20,19.0,Sunday,22:00:00,23:00:00,1.0,Home,0.0
S801 ,nan,Sleeping,2022-02-20,19.0,Sunday,23:00:00,08:00:00,0.0,Home,0.0
UD415 ,nan,Social media/Using phone,2022-02-21,20.0,Monday,08:00:00,08:30:00,1.0,Home,0.0
EL642 ,nan,Online Lectures,2022-02-21,20.0,Monday,08:45:00,10:00:00,-1.0,Home,-1.0
ED145 ,R523 ,Breakfast,2022-02-21,20.0,Monday,10:00:00,10:15:00,1.0,Home,0.0
O733 ,nan,Showering/Getting dressed,2022-02-21,20.0,Monday,10:15:00,10:30:00,-1.0,Home,0.0
T695 ,nan,Taking a bus to the university,2022-02-21,20.0,Monday,10:45:00,11:00:00,0.0,University,0.0
EL642 ,nan,Lecture,2022-02-21,20.0,Monday,11:15:00,12:15:00,0.0,University,1.0
nan,nan,Lunch,2022-02-21,20.0,Monday,12:30:00,13:00:00,2.0,University,0.0
X893 ,nan,Squash,2022-02-21,20.0,Monday,13:30:00,14:30:00,1.0,University,1.0
T695 ,nan,Walking back home,2022-02-21,20.0,Monday,15:00:00,15:30:00,-1.0,Home,0.0
CW982 ,UD415 ,Dissertation Research/Social Media,2022-02-21,20.0,Monday,16:00:00,18:00:00,1.0,Home,-1.0
O733 ,nan,Smoking ,2022-02-21,20.0,Monday,18:00:00,18:30:00,2.0,Home,0.0
ED145 ,nan,Cooking Dinner,2022-02-21,20.0,Monday,18:45:00,19:15:00,0.0,Home,-1.0
ED145 ,L418 ,Dinner/Watching the Witcher,2022-02-21,20.0,Monday,19:15:00,20:00:00,2.0,Home,0.0
ED145 ,L418 ,Drinking Beers/Hanging out with friends,2022-02-21,20.0,Monday,20:00:00,22:00:00,2.0,Home,-1.0
UD415 ,nan,Social Media,2022-02-21,20.0,Monday,22:00:00,22:30:00,0.0,Home,-1.0
S801 ,nan,Sleeping,2022-02-21,20.0,Monday,22:45:00,07:00:00,0.0,Home,0.0
