PrimaryActivityCode,SecondaryActivityCode,DescriptiveLabel,StartDate,UniBathWeekNo,DayOfWeek,StartTime,EndTime,DurationMins,EnjoymentScore,DifficultyLevel,EnergyLevel
S801,,,20/02/2022,21,Sunday,00:00:00,08:00:00,480,2,-2,-1
X893,UD415,Music,20/02/2022,21,Sunday,08:00:00,08:15:00,15,2,1,1
H179,,,20/02/2022,21,Sunday,08:15:00,09:00:00,45,-1,1,2
ED145,UD415,,20/02/2022,21,Sunday,09:00:00,10:00:00,60,1,-2,2
R523,,,20/02/2022,21,Sunday,10:00:00,12:00:00,120,1,-1,2
EL642,,,20/02/2022,21,Sunday,12:00:00,15:00:00,180,1,1,1
O733,,Finishing up,20/02/2022,21,Sunday,15:00:00,17:00:00,120,2,1,1
PW101,,,20/02/2022,21,Sunday,17:00:00,23:00:00,360,-1,2,0
T695,,,20/02/2022,21,Sunday,23:00:00,23:30:00,30,0,0,1
ED145,,,20/02/2022,21,Sunday,23:30:00,00:15:00,45,0,-1,2
UD415,,,21/02/2022,22,Monday,00:15:00,02:00:00,105,1,-1,-2
S801,,,21/02/2022,22,Monday,02:00:00,08:00:00,360,2,-2,-2
L418,,,21/02/2022,22,Monday,08:00:00,09:00:00,60,2,0,2
T695,,,21/02/2022,22,Monday,09:00:00,09:15:00,15,-1,-1,2
CW982,,,21/02/2022,22,Monday,09:15:00,12:15:00,180,1,1,2
T695,,,21/02/2022,22,Monday,12:15:00,12:30:00,15,-1,-2,2
L418,,,21/02/2022,22,Monday,12:30:00,14:00:00,90,2,-2,1
ED145,,,21/02/2022,22,Monday,14:00:00,15:00:00,60,2,-2,1
R523,,,21/02/2022,22,Monday,15:00:00,17:00:00,120,1,1,0
T695,,,21/02/2022,22,Monday,17:00:00,17:15:00,15,1,0,0
PW101,,,21/02/2022,22,Monday,17:15:00,23:00:00,345,1,2,-1
T695,,,21/02/2022,22,Monday,23:00:00,23:45:00,45,0,-2,-1
L418,,,21/02/2022,22,Monday,23:45:00,01:45:00,120,2,1,-1
S801,,,22/02/2022,22,Tuesday,01:45:00,08:00:00,375,2,-2,-2
X893,,,22/02/2022,22,Tuesday,08:00:00,09:00:00,60,2,2,0
T695,R523,,22/02/2022,22,Tuesday,09:00:00,09:15:00,15,1,1,0
EL642,,,22/02/2022,22,Tuesday,09:15:00,10:15:00,60,2,1,1
ED145,UD415,,22/02/2022,22,Tuesday,10:15:00,13:00:00,165,1,-2,1
EL642,,,22/02/2022,22,Tuesday,13:00:00,14:15:00,75,2,1,1
T695,UD415,Music,22/02/2022,22,Tuesday,14:15:00,14:30:00,15,2,-2,1
H179,UD415,Music,22/02/2022,22,Tuesday,14:30:00,15:30:00,60,1,1,0
CW982,,,22/02/2022,22,Tuesday,15:30:00,17:00:00,90,1,2,-1
T695,UD415,Music,22/02/2022,22,Tuesday,17:00:00,17:15:00,15,0,-1,0
PW101,,,22/02/2022,22,Tuesday,17:15:00,23:30:00,375,0,1,-2
ED145,UD415,Movie,22/02/2022,22,Tuesday,23:30:00,00:30:00,60,2,-2,-2
