PrimaryActivityCode,SecondaryActivityCode,DescriptiveLabel,StartDate,UniBathWeekNo,DayOfWeek,StartTime,EndTime,DurationMins,EnjoymentScore,AvgAlcoholConsumptionInUnits,FitnessLevel
S801,,Sleeping,21/02/2022,21,Monday,00:00:00,07:30:00,450,2,0,3
O733,,Shower and Dress up,21/02/2022,21,Monday,07:30:00,08:30:00,60,1,,
T695,,Travel To University,21/02/2022,21,Monday,08:30:00,09:00:00,30,0,,
EL642,,Lecture,21/02/2022,21,Monday,09:15:00,10:00:00,45,1,,
EL642,,Machine Learning Lab,21/02/2022,21,Monday,10:15:00,12:15:00,120,2,,
ED145,,Lunch,21/02/2022,21,Monday,12:15:00,13:00:00,45,1,,
EL642,,Lecture,21/02/2022,21,Monday,13:15:00,14:00:00,45,2,,
T695,,Travel back to Flat,21/02/2022,21,Monday,14:00:00,15:00:00,60,0,,
UD415,,On call with friends,21/02/2022,21,Monday,15:00:00,17:00:00,120,2,,
L418,,Chilling with Flatmates,21/02/2022,21,Monday,17:00:00,20:00:00,180,2,,
ED145,,Cooking and Eating Dinner,21/02/2022,21,Monday,20:00:00,22:00:00,120,1,,
L418,UD415,Music and Chill,21/02/2022,21,Monday,22:00:00,23:45:00,105,2,,
S801,,Sleeping,22/02/2022,21,Tuesday,00:00:00,09:00:00,540,2,6,3
O733,,Shower and Dress up,22/02/2022,21,Tuesday,09:00:00,10:00:00,60,0,,
ED145,,Breakfast,22/02/2022,21,Tuesday,10:00:00,10:30:00,30,1,,
T695,,Travel To Univesity,22/02/2022,21,Tuesday,10:30:00,11:00:00,30,1,,
EL642,,Lecture,22/02/2022,21,Tuesday,11:15:00,12:15:00,60,2,,
ED145,,Lunch,22/02/2022,21,Tuesday,12:15:00,13:00:00,45,1,,
O733,,Playing Pool,22/02/2022,21,Tuesday,13:15:00,14:00:00,45,2,,
T695,,Travel back to Flat,22/02/2022,21,Tuesday,14:00:00,15:00:00,60,0,,
H179,,Laundry and Cleaning,22/02/2022,21,Tuesday,15:00:00,17:00:00,120,-1,,
L418,,Chilling with Flatmates,22/02/2022,21,Tuesday,17:00:00,20:00:00,180,2,,
ED145,,Cooking and Eating Dinner,22/02/2022,21,Tuesday,20:00:00,22:00:00,120,1,,
L418,UD415,Music and Chill,22/02/2022,21,Tuesday,22:00:00,23:45:00,105,2,,
S801,,Sleeping,23/02/2022,21,Wednesday,00:00:00,07:30:00,450,2,14,3
O733,,Shower and Dress up,23/02/2022,21,Wednesday,07:30:00,08:30:00,60,1,,
T695,,Travel To University,23/02/2022,21,Wednesday,08:30:00,09:00:00,30,0,,
EL642,,ADS Lab,23/02/2022,21,Wednesday,09:15:00,11:15:00,120,1,,
O733,,Playing Pool,23/02/2022,21,Wednesday,10:15:00,12:15:00,120,2,,
ED145,,Lunch,23/02/2022,21,Wednesday,12:15:00,13:00:00,45,2,,
CW982,,Coursework,23/02/2022,21,Wednesday,13:15:00,14:00:00,45,1,,
EL642,,Online Lecture,23/02/2022,21,Wednesday,14:15:00,15:00:00,45,0,,
UD415,,Watching Youtube,23/02/2022,21,Wednesday,15:00:00,16:00:00,60,2,,
EL642,,RL Lab,23/02/2022,21,Wednesday,16:15:00,18:00:00,105,1,,
T695,,Travel back to Flat,23/02/2022,21,Wednesday,18:15:00,19:00:00,45,0,,
ED145,,Cooking and Eating Dinner,23/02/2022,21,Wednesday,19:00:00,21:00:00,120,2,,
L418,UD415,Watching A Movie,23/02/2022,21,Wednesday,21:00:00,23:45:00,165,2,,
