Primary Activity ,Descriptive Label,Day of the week,UniBathWeek,Start date,Start time (in AM/PM),End time (in AM/PM),Duration,Enjoyment,Did you plan your schedule for the coming day?(Answer once in a day),Did you use your mobile phone as soon as you wake up? (Answer once in a day),"If your answer to the previous question is yes, please enter the duration. (Enter the number of min spent as a number)"
Sleep,Sleeping,Monday,21,2/21/2022,12:30:00 AM,8:00:00 AM,450,neither enjoyable nor unenjoyable,,,
Reading,read a book,Monday,21,2/21/2022,9:15:00 AM,10:00:00 AM,45,somewhat enjoyable,,,
Eating / Drinking,had breakfast,Monday,21,2/21/2022,10:10:00 AM,10:30:00 AM,20,somewhat enjoyable,,,
Education / Lectures,online lecture,Monday,21,2/21/2022,12:15:00 PM,1:05:00 PM,50,somewhat enjoyable,,,
Leisure,surfed youtube,Monday,21,2/21/2022,1:10:00 PM,1:35:00 PM,25,very enjoyable,,,
Travelling,went to uni via bus,Monday,21,2/21/2022,1:50:00 PM,2:05:00 PM,15,neither enjoyable nor unenjoyable,,,
Education / Lectures,attended lecture,Monday,21,2/21/2022,2:15:00 PM,3:05:00 PM,50,somewhat enjoyable,,,
Other,Grocery shopping,Monday,21,2/21/2022,3:30:00 PM,4:30:00 PM,60,somewhat enjoyable,,,
Eating / Drinking,had a little snack,Monday,21,2/21/2022,5:00:00 PM,5:20:00 PM,20,very enjoyable,,,
Using Devices,watched youtube,Monday,21,2/21/2022,6:00:00 PM,8:00:00 PM,120,very enjoyable,,,
Eating / Drinking,had dinner,Monday,21,2/21/2022,8:15:00 PM,8:35:00 PM,20,somewhat enjoyable,,,
Coursework,did coursework,Monday,21,2/21/2022,9:00:00 PM,11:30:00 PM,150,somewhat enjoyable,Yes,Yes,15
Sleep,Sleeping,Tuesday,21,2/22/2022,12:30:00 AM,7:30:00 AM,420,neither enjoyable nor unenjoyable,,,
Travelling,went to uni,Tuesday,21,2/22/2022,8:25:00 AM,9:00:00 AM,35,somewhat unenjoyable,,,
Education / Lectures,Uni lectures,Tuesday,21,2/22/2022,9:15:00 AM,2:05:00 PM,290,somewhat enjoyable,,,
Travelling,back from uni to home,Tuesday,21,2/22/2022,2:10:00 PM,2:25:00 PM,15,somewhat unenjoyable,,,
Eating / Drinking,had lunch,Tuesday,21,2/22/2022,3:00:00 PM,3:30:00 PM,30,very enjoyable,,,
Education / Lectures,Online lecture,Tuesday,21,2/22/2022,4:15:00 PM,5:05:00 PM,50,very enjoyable,,,
Using Devices,"using phone, social media",Tuesday,21,2/22/2022,5:10:00 PM,6:00:00 PM,50,very enjoyable,,,
Education / Lectures,researched some study material,Tuesday,21,2/22/2022,6:00:00 PM,7:30:00 PM,90,somewhat enjoyable,,,
Eating / Drinking,had dinner,Tuesday,21,2/22/2022,7:30:00 PM,8:30:00 PM,60,somewhat enjoyable,,,
Housework,did some cleaning,Tuesday,21,2/22/2022,9:00:00 PM,9:20:00 PM,20,neither enjoyable nor unenjoyable,,,
Leisure,watched a k-drama,Tuesday,21,2/22/2022,9:20:00 PM,11:30:00 PM,130,very enjoyable,Yes,Yes,5
Sleep,Sleeping,Wednesday,21,2/23/2022,12:00:00 AM,9:00:00 AM,540,somewhat enjoyable,,,
Using Devices,"used insta, whatsapp",Wednesday,21,3/23/2022,9:00:00 AM,10:00:00 AM,60,very enjoyable,,,
Eating / Drinking,had breakfast,Wednesday,21,2/23/2022,11:00:00 AM,11:30:00 AM,30,neither enjoyable nor unenjoyable,,,
Reading,read a murakami book,Wednesday,21,2/23/2022,11:30:00 AM,2:00:00 PM,150,very enjoyable,,,
Eating / Drinking,had lunch,Wednesday,21,2/23/2022,2:30:00 PM,3:00:00 PM,30,very enjoyable,,,
Coursework,did ADS coursework,Wednesday,21,2/23/2022,3:00:00 PM,6:00:00 PM,180,somewhat enjoyable,,,
Leisure,listened to music and watched youtube,Wednesday,21,2/23/2022,6:00:00 PM,7:00:00 PM,60,very enjoyable,,,
Eating / Drinking,had dinner,Wednesday,21,2/23/2022,8:00:00 PM,8:30:00 PM,30,very enjoyable,,,
Using Devices,just surfing internet,Wednesday,21,2/23/2022,8:30:00 PM,9:30:00 PM,60,neither enjoyable nor unenjoyable,,,
Leisure,watched a k-drama,Wednesday,21,2/23/2022,9:30:00 PM,11:30:00 PM,120,very enjoyable,,,
Leisure,read a webtoon,Wednesday,21,2/23/2022,11:30:00 PM,11:45:00 PM,15,very enjoyable,Yes,Yes,60
