PrimaryActivityCode,SecondaryActivityCode,DescriptiveLabel,StartDate,UniBathWeekNo,DayOfWeek,StartTime,EndTime,DurationMins,EnjoymentScore,AnxietyLevel,StressLevel
S801,,Sleeping,18/02/2022,21,Friday,00:15:00,10:00:00,585,2,0,0
O733,,Showering/Getting dressed,18/02/2022,21,Friday,10:00:00,10:15:00,15,0,0,0
EL642,,Meeting with a supervisior,18/02/2022,21,Friday,10:15:00,11:15:00,60,1,2,1
L418,UD415,Social Media,18/02/2022,21,Friday,11:15:00,12:00:00,45,2,0,0
L418,T695,Cycling,18/02/2022,21,Friday,12:00:00,13:00:00,60,1,2,1
ED145,,Lunch,18/02/2022,21,Friday,13:00:00,14:00:00,60,1,0,0
CW982,EL642,ADS Lab 3,18/02/2022,21,Friday,14:00:00,18:30:00,270,-2,2,3
UD415,,Phone call with a friend,18/02/2022,21,Friday,18:30:00,19:30:00,60,1,1,0
ED145,,Dinner,18/02/2022,21,Friday,19:30:00,20:00:00,30,2,1,0
CW982,EL642,ADS Lab 3,18/02/2022,21,Friday,20:00:00,22:00:00,120,-2,3,2
L418,,Journalling,18/02/2022,21,Friday,22:00:00,23:00:00,60,2,0,0
L418,UD415,Gaming,18/02/2022,21,Friday,23:00:00,04:30:00,330,2,1,0
S801,,Sleeping,19/02/2022,21,Saturday,04:30:00,11:30:00,420,2,0,0
O733,,Showering/Getting dressed,19/02/2022,21,Saturday,11:30:00,12:00:00,30,2,1,0
L418,T695,Cycling,19/02/2022,21,Saturday,12:15:00,13:15:00,60,2,1,2
L418,UD415,Gaming,19/02/2022,21,Saturday,13:15:00,18:00:00,285,2,1,0
ED145,,Dinner,19/02/2022,21,Saturday,18:00:00,19:00:00,60,0,0,0
L418,UD415,Gaming,19/02/2022,21,Saturday,19:00:00,23:00:00,240,2,1,0
L418,,Journalling,19/02/2022,21,Saturday,23:00:00,00:00:00,60,2,1,0
CW982,EL642,ADS Lab 3,20/02/2022,21,Sunday,00:00:00,02:00:00,120,-2,2,1
L418,UD415,Gaming,20/02/2022,21,Sunday,02:00:00,04:00:00,120,2,1,0
S801,,Sleeping,20/02/2022,21,Sunday,04:00:00,11:15:00,435,2,0,0
O733,,Showering/Getting dressed,20/02/2022,21,Sunday,11:15:00,11:30:00,15,2,1,0
CW982,EL642,ADS Lab 3,20/02/2022,21,Sunday,11:30:00,15:00:00,210,-1,2,1
L418,UD415,Gaming,20/02/2022,21,Sunday,15:00:00,18:00:00,180,2,1,0
ED145,,Dinner,20/02/2022,21,Sunday,18:00:00,18:30:00,30,2,1,0
CW982,EL642,ADS Lab 3,20/02/2022,21,Sunday,18:30:00,20:00:00,90,-2,2,2
X893,L418,Went for a walk,20/02/2022,21,Sunday,20:00:00,20:30:00,30,1,1,0
CW982,EL642,ADS Lab 3,20/02/2022,21,Sunday,20:30:00,22:00:00,90,-2,2,2
L418,UD415,Gaming,20/02/2022,21,Sunday,22:00:00,23:00:00,60,2,0,0
L418,,Journalling,20/02/2022,21,Sunday,23:00:00,00:00:00,60,1,2,0
L418,UD415,Gaming,21/02/2022,22,Monday,00:00:00,04:00:00,240,2,1,0
S801,,Sleeping,21/02/2022,22,Monday,04:00:00,12:00:00,480,2,0,0
L418,UD415,Gaming,21/02/2022,22,Monday,12:00:00,14:00:00,120,2,1,0
CW982,EL642,ADS Lab 3,21/02/2022,22,Monday,14:00:00,16:00:00,120,-2,2,2
L418,UD415,Gaming,21/02/2022,22,Monday,16:00:00,20:00:00,240,2,1,0
O733,UD415,Phone call with a friend,21/02/2022,22,Monday,20:00:00,22:00:00,120,2,0,0
L418,,Journalling,21/02/2022,22,Monday,22:00:00,23:00:00,60,1,1,0
CW982,EL642,ADS Lab 3,21/02/2022,22,Monday,23:00:00,00:00:00,60,-2,3,2
